tool	simu	space	q25	q50	q75	iqr
simulation	refMet4	gtdb207	5.024192439343089	5.557399659515508	5.975854678455483	0.9516622391123937
simulation	refMet4	uhgg	5.024327686527437	5.557399659515506	5.979654930020992	0.9553272434935547
simulation	refKrak	gtdb207	6.070153643064058	6.640354866458857	6.99520421364858	0.9250505705845216
simulation	refKrak	uhgg	6.12260179975883	6.684846140944401	7.051452699477849	0.928850899719019
kraken2 + bracken	refMet4	gtdb207	5.86836430101711	6.401721411566791	6.748655121663439	0.8802908206463291
kraken2 + bracken	refMet4	uhgg	5.631170367592549	6.186890281186945	6.518551596686368	0.887381229093819
kraken2 + bracken	refKrak	gtdb207	6.529426214912733	7.067423620507957	7.386409718396497	0.8569835034837645
kraken2 + bracken	refKrak	uhgg	6.270275865684254	6.847741817163912	7.165337752668819	0.895061886984565
metaphlan3	refMet4	gtdb207	4.027922323529925	4.569542301655569	4.939395365678077	0.9114730421481525
metaphlan3	refMet4	uhgg	4.5013128283693815	4.993084177382808	5.330691132705009	0.8293783043356271
metaphlan3	refKrak	gtdb207	4.537893792696128	5.026594949503542	5.402420362027629	0.8645265693315016
metaphlan3	refKrak	uhgg	4.974431587136105	5.387789024183312	5.734154615950951	0.7597230288148458
motus3	refMet4	gtdb207	5.021258653533218	5.549686593831786	5.962523150405147	0.9412644968719288
motus3	refMet4	uhgg	5.017236017424442	5.551321080207804	5.959318128024622	0.9420821106001798
motus3	refKrak	gtdb207	5.940702603243156	6.491722580950135	6.880727291811761	0.940024688568605
motus3	refKrak	uhgg	5.948016012473905	6.497155341444668	6.8734741621418465	0.925458149667941
metaphlan4	refMet4	gtdb207	4.948368244764956	5.465573960352143	5.88550218709328	0.937133942328324
metaphlan4	refMet4	uhgg	4.948368244764955	5.465826277580383	5.885757498381686	0.9373892536167308
metaphlan4	refKrak	gtdb207	5.6203999328290495	6.208786233360463	6.597041533048062	0.9766416002190121
metaphlan4	refKrak	uhgg	5.619797077015141	6.219082818330548	6.60305862411902	0.9832615471038793
