tool	simu	space	q25	q50	q75	iqr
kraken2 + bracken	refMet4	gtdb207	0.6837404706862604	0.8331300983281524	1.0117699383245844	0.32802946763832397
kraken2 + bracken	refMet4	uhgg	0.47132896419036907	0.6128732975521096	0.768101241473607	0.29677227728323796
kraken2 + bracken	refKrak	gtdb207	0.3277052225359909	0.4413921016611537	0.5553144926726881	0.22760927013669718
kraken2 + bracken	refKrak	uhgg	0.06094953410834503	0.15014980155835644	0.2487122293345343	0.18776269522618927
metaphlan3	refMet4	gtdb207	-1.1745056821089666	-0.9836937448366294	-0.7947863699849433	0.3797193121240232
metaphlan3	refMet4	uhgg	-0.8093540577992417	-0.594244991743405	-0.3260237327998152	0.4833303249994265
metaphlan3	refKrak	gtdb207	-1.7336169952023996	-1.5696516676749424	-1.407928690281786	0.3256883049206136
metaphlan3	refKrak	uhgg	-1.4724269256560452	-1.2704029111332797	-1.0831750083092548	0.3892519173467903
motus3	refMet4	gtdb207	-0.06018393641592246	-0.006970917658305709	0.06353996403895223	0.12372390045487469
motus3	refMet4	uhgg	-0.06069012037780208	-0.00791847810884283	0.059678984980299	0.12036910535810108
motus3	refKrak	gtdb207	-0.21273327110419382	-0.1239290972823266	-0.027481878057815656	0.18525139304637817
motus3	refKrak	uhgg	-0.25495364946778976	-0.1661345394911642	-0.07314347249570075	0.181810176972089
metaphlan4	refMet4	gtdb207	-0.10450306693498002	-0.08420649528497037	-0.06636292234188579	0.03814014459309423
metaphlan4	refMet4	uhgg	-0.10589760535271209	-0.08580893740347229	-0.06634339137850365	0.03955421397420844
metaphlan4	refKrak	gtdb207	-0.47500353688514485	-0.4120754038203911	-0.35879483507441945	0.1162087018107254
metaphlan4	refKrak	uhgg	-0.5235215325351827	-0.4651714317037605	-0.4090871987620184	0.11443433377316437
