tool	simu	space	q25	q50	q75	iqr
kraken2 + bracken	refMet4	gtdb207	0.07041801386683415	0.0862722815851996	0.10393841908860349	0.03352040522176934
kraken2 + bracken	refMet4	uhgg	0.059456000542273346	0.0696465137686865	0.08295654188665415	0.0235005413443808
kraken2 + bracken	refKrak	gtdb207	0.07210474243374365	0.0911956721009627	0.1100409454830759	0.03793620304933225
kraken2 + bracken	refKrak	uhgg	0.06118210236011695	0.0709839101648506	0.0826014115975726	0.02141930923745565
metaphlan3	refMet4	gtdb207	0.13969067823114256	0.1693769149763233	0.2025336733412504	0.06284299511010782
metaphlan3	refMet4	uhgg	0.11541387386818536	0.1397169202321168	0.16876423540838484	0.05335036154019948
metaphlan3	refKrak	gtdb207	0.1398121846349133	0.1667685278149013	0.19548783898234395	0.05567565434743066
metaphlan3	refKrak	uhgg	0.11186047191895976	0.1327744531933415	0.15695378854768385	0.045093316628724095
motus3	refMet4	gtdb207	0.027538623959007448	0.035348425338054	0.05095402328392805	0.0234153993249206
motus3	refMet4	uhgg	0.0254441051656778	0.0332106033423493	0.0442785774036456	0.018834472237967803
motus3	refKrak	gtdb207	0.031231891257171802	0.0375100879922652	0.04663491325015395	0.01540302199298215
motus3	refKrak	uhgg	0.0275751130521267	0.0330729232299898	0.04220686368482475	0.014631750632698049
metaphlan4	refMet4	gtdb207	0.011058689194037099	0.0140682748226761	0.018382713945031652	0.007324024750994553
metaphlan4	refMet4	uhgg	0.00788483203949815	0.0094574959542609	0.01171535013313015	0.0038305180936320012
metaphlan4	refKrak	gtdb207	0.021993999084808848	0.0280851655167629	0.03427109929790635	0.012277100213097504
metaphlan4	refKrak	uhgg	0.016901920015403048	0.0210310139077772	0.02602682116442595	0.009124901149022903
