	space	simu	simulation	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	gtdb207	refKrak	473	677	186	435	424
SAMEA2466888	gtdb207	refKrak	428	626	141	388	373
SAMEA2466889	gtdb207	refKrak	890	892	206	668	578
SAMEA2466890	gtdb207	refKrak	689	784	192	561	517
SAMEA2466891	gtdb207	refKrak	451	719	168	407	404
SAMEA2466892	gtdb207	refKrak	436	599	170	411	393
SAMEA2466893	gtdb207	refKrak	320	563	136	300	296
SAMEA2466894	gtdb207	refKrak	375	610	146	347	343
SAMEA2466895	gtdb207	refKrak	512	657	143	394	365
SAMEA2466896	gtdb207	refKrak	297	485	122	271	263
SAMEA2466897	gtdb207	refKrak	535	688	176	473	454
SAMEA2466898	gtdb207	refKrak	486	725	154	447	429
SAMEA2466899	gtdb207	refKrak	622	779	192	534	513
SAMEA2466900	gtdb207	refKrak	508	631	141	413	368
SAMEA2466901	gtdb207	refKrak	379	590	154	357	354
SAMEA2466902	gtdb207	refKrak	496	653	170	425	409
SAMEA2466903	gtdb207	refKrak	672	788	187	555	555
SAMEA2466904	gtdb207	refKrak	637	820	200	550	542
SAMEA2466905	gtdb207	refKrak	436	653	161	393	389
SAMEA2466906	gtdb207	refKrak	412	656	156	386	372
SAMEA2466907	gtdb207	refKrak	298	465	119	262	248
SAMEA2466908	gtdb207	refKrak	403	626	148	370	356
SAMEA2466910	gtdb207	refKrak	715	808	198	585	550
SAMEA2466911	gtdb207	refKrak	549	727	177	479	487
SAMEA2466912	gtdb207	refKrak	436	580	153	375	366
SAMEA2466913	gtdb207	refKrak	717	817	187	559	499
SAMEA2466914	gtdb207	refKrak	496	603	179	417	415
SAMEA2466915	gtdb207	refKrak	343	520	123	326	293
SAMEA2466916	gtdb207	refKrak	434	604	162	373	346
SAMEA2466917	gtdb207	refKrak	242	376	90	182	170
SAMEA2466918	gtdb207	refKrak	522	661	175	451	431
SAMEA2466921	gtdb207	refKrak	450	634	165	392	398
SAMEA2466922	gtdb207	refKrak	316	508	97	286	280
SAMEA2466923	gtdb207	refKrak	285	646	126	263	251
