		space	simu	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	TP	gtdb207	refKrak	463.0	178.0	406.0	401.0
SAMEA2466887	FN	gtdb207	refKrak	10.0	295.0	67.0	72.0
SAMEA2466887	FP	gtdb207	refKrak	214.0	8.0	29.0	23.0
SAMEA2466887	TN	gtdb207	refKrak	4194.0	4400.0	4379.0	4385.0
SAMEA2466887	TPR	gtdb207	refKrak	0.9788583509306796	0.3763213530575831	0.8583509513560602	0.8477801268319708
SAMEA2466887	FPR	gtdb207	refKrak	0.0485480943737555	0.0018148820326637	0.0065789473684061	0.0052177858439083
SAMEA2466887	TNR	gtdb207	refKrak	0.951451905623976	0.9981851179650676	0.9934210526293252	0.9947822141538232
SAMEA2466887	FNR	gtdb207	refKrak	0.0211416490481788	0.6236786469212753	0.1416490486227981	0.1522198731468875
SAMEA2466887	PPV	gtdb207	refKrak	0.6838995568584357	0.9569892472603768	0.9333333333118774	0.9457547169588264
SAMEA2466887	NPV	gtdb207	refKrak	0.9976213130328316	0.9371671991460336	0.9849302744017432	0.983845636075872
SAMEA2466887	FDR	gtdb207	refKrak	0.3161004431267932	0.0430107526858596	0.0666666666651341	0.0542452830175885
SAMEA2466887	FOR	gtdb207	refKrak	0.0023786869647897	0.0628328008518363	0.0150697255960074	0.0161543639218843
SAMEA2466887	P_T	gtdb207	refKrak	0.1387010858430649	0.0381069452980946	0.0891210817455439	0.0868674451956566
SAMEA2466887	P_F	gtdb207	refKrak	0.861298914156935	0.9618930547019052	0.910878918254456	0.9131325548043434
SAMEA2466887	FPRA	gtdb207	refKrak	0.0714799958860315	0.0060537963677219	0.0666752020734092	0.0429602699278101
SAMEA2466887	FNRA	gtdb207	refKrak	0.0031106221244244	0.3590318063612607	0.1358471694338843	0.1344168833766728
SAMEA2466887	F1	gtdb207	refKrak	0.805217391297346	0.5402124430874019	0.8942731277434551	0.8940914158205787
SAMEA2466887	ACC	gtdb207	refKrak	0.95410776480034	0.9379225568511824	0.980331899198975	0.9805367752489644
SAMEA2466887	Dice	gtdb207	refKrak	0.1947826086956521	0.4597875569044006	0.105726872246696	0.1059085841694537
SAMEA2466888	TP	gtdb207	refKrak	420.0	134.0	361.0	361.0
SAMEA2466888	FN	gtdb207	refKrak	8.0	294.0	67.0	67.0
SAMEA2466888	FP	gtdb207	refKrak	206.0	7.0	27.0	12.0
SAMEA2466888	TN	gtdb207	refKrak	4247.0	4446.0	4426.0	4441.0
SAMEA2466888	TPR	gtdb207	refKrak	0.9813084111920256	0.3130841121422176	0.8434579439055266	0.8434579439055266
SAMEA2466888	FPR	gtdb207	refKrak	0.0462609476756203	0.0015719739501424	0.0060633280934065	0.0026948124859584
SAMEA2466888	TNR	gtdb207	refKrak	0.953739052322134	0.998428026047612	0.9939366719043478	0.997305187511796
SAMEA2466888	FNR	gtdb207	refKrak	0.01869158878461	0.6869158878344178	0.1565420560711088	0.1565420560711088
SAMEA2466888	PPV	gtdb207	refKrak	0.6709265175611673	0.950354609861677	0.9304123711100408	0.9678284182046158
SAMEA2466888	NPV	gtdb207	refKrak	0.9981198589870784	0.9379746835423248	0.9850879145315268	0.985137533271994
SAMEA2466888	FDR	gtdb207	refKrak	0.3290734824228582	0.049645390067401	0.0695876288641858	0.0321715817685744
SAMEA2466888	FOR	gtdb207	refKrak	0.0018801410105713	0.0620253164555653	0.0149120854662476	0.0148624667257877
SAMEA2466888	P_T	gtdb207	refKrak	0.1282524072935874	0.0288875230485556	0.0794919073960254	0.076418766646179
SAMEA2466888	P_F	gtdb207	refKrak	0.8717475927064127	0.9711124769514444	0.9205080926039746	0.9235812333538208
SAMEA2466888	FPRA	gtdb207	refKrak	0.068431983385248	0.0528151841554446	0.059860078239904	0.034375806875161
SAMEA2466888	FNRA	gtdb207	refKrak	0.009540190803816	0.5387607752155018	0.1439928798575963	0.1094621892437842
SAMEA2466888	F1	gtdb207	refKrak	0.796963946861509	0.4710017574609665	0.8848039215577843	0.9013732833845022
SAMEA2466888	ACC	gtdb207	refKrak	0.9561565253002332	0.9383323089511608	0.9807416512989536	0.9838147920487936
SAMEA2466888	Dice	gtdb207	refKrak	0.2030360531309298	0.5289982425307557	0.1151960784313725	0.0986267166042447
SAMEA2466889	TP	gtdb207	refKrak	764.0	194.0	620.0	555.0
SAMEA2466889	FN	gtdb207	refKrak	126.0	696.0	270.0	335.0
SAMEA2466889	FP	gtdb207	refKrak	128.0	12.0	48.0	23.0
SAMEA2466889	TN	gtdb207	refKrak	3863.0	3979.0	3943.0	3968.0
SAMEA2466889	TPR	gtdb207	refKrak	0.8584269662824896	0.2179775280874384	0.6966292134753188	0.6235955056109709
SAMEA2466889	FPR	gtdb207	refKrak	0.0320721623652416	0.0030067652217414	0.0120270608869656	0.0057629666750043
SAMEA2466889	TNR	gtdb207	refKrak	0.9679278376322528	0.996993234775753	0.9879729391105287	0.99423703332249
SAMEA2466889	FNR	gtdb207	refKrak	0.1415730337062744	0.7820224719013256	0.3033707865134453	0.3764044943777932
SAMEA2466889	PPV	gtdb207	refKrak	0.8565022421428643	0.941747572769818	0.928143712560956	0.9602076124401348
SAMEA2466889	NPV	gtdb207	refKrak	0.9684131361219144	0.8511229946505858	0.9359126513151296	0.922147339063625
SAMEA2466889	FDR	gtdb207	refKrak	0.1434977578459249	0.0582524271816382	0.071856287424074	0.0397923875425641
SAMEA2466889	FOR	gtdb207	refKrak	0.0315868638755788	0.1488770053472751	0.0640873486824968	0.077852660934051
SAMEA2466889	P_T	gtdb207	refKrak	0.1827494365908625	0.0422044662978897	0.1368572013931571	0.118418356894079
SAMEA2466889	P_F	gtdb207	refKrak	0.8172505634091375	0.9577955337021102	0.8631427986068428	0.8815816431059209
SAMEA2466889	FPRA	gtdb207	refKrak	0.0893762284059102	0.1421292710646349	0.0811652143078332	0.0480201480201473
SAMEA2466889	FNRA	gtdb207	refKrak	0.0119023804760942	0.6402480496098959	0.1782256451290179	0.1120024004800898
SAMEA2466889	F1	gtdb207	refKrak	0.8574635241253791	0.3540145985369159	0.7958921694429019	0.756130790185585
SAMEA2466889	ACC	gtdb207	refKrak	0.9479614833006598	0.854947756605501	0.9348494161013424	0.9266543741017688
SAMEA2466889	Dice	gtdb207	refKrak	0.1425364758698092	0.6459854014598541	0.2041078305519897	0.2438692098092643
SAMEA2466890	TP	gtdb207	refKrak	627.0	187.0	525.0	494.0
SAMEA2466890	FN	gtdb207	refKrak	62.0	502.0	164.0	195.0
SAMEA2466890	FP	gtdb207	refKrak	157.0	5.0	36.0	23.0
SAMEA2466890	TN	gtdb207	refKrak	4035.0	4187.0	4156.0	4169.0
SAMEA2466890	TPR	gtdb207	refKrak	0.910014513774891	0.2714078374416341	0.7619738751703632	0.7169811320650655
SAMEA2466890	FPR	gtdb207	refKrak	0.0374522900762465	0.0011927480916002	0.0085877862595214	0.0054866412213609
SAMEA2466890	TNR	gtdb207	refKrak	0.962547709921368	0.9988072519060144	0.9914122137380932	0.9945133587762536
SAMEA2466890	FNR	gtdb207	refKrak	0.0899854862105952	0.7285921625438521	0.2380261248151229	0.2830188679204206
SAMEA2466890	PPV	gtdb207	refKrak	0.7997448979489828	0.9739583332826064	0.935828876988666	0.9555125725153673
SAMEA2466890	NPV	gtdb207	refKrak	0.9848669758335736	0.8929409255685798	0.96203703703481	0.9553162236458402
SAMEA2466890	FDR	gtdb207	refKrak	0.200255102038262	0.0260416666653103	0.0641711229935085	0.0444874274652903
SAMEA2466890	FOR	gtdb207	refKrak	0.0151330241639855	0.1070590744292875	0.037962962962875	0.0446837763518682
SAMEA2466890	P_T	gtdb207	refKrak	0.1606228231919688	0.0393362015980331	0.1149354640442532	0.1059209178447039
SAMEA2466890	P_F	gtdb207	refKrak	0.8393771768080311	0.9606637984019668	0.8850645359557467	0.8940790821552961
SAMEA2466890	FPRA	gtdb207	refKrak	0.0649070555612505	0.0046830004683	0.093223142923445	0.0087261043630513
SAMEA2466890	FNRA	gtdb207	refKrak	0.0073703685184253	0.3586579328966307	0.1474573728686401	0.0488824441222032
SAMEA2466890	F1	gtdb207	refKrak	0.8513238289147907	0.4245175936387682	0.8399999999932801	0.8192371475885636
SAMEA2466890	ACC	gtdb207	refKrak	0.9551321450502864	0.8961278426533577	0.959024790000084	0.955337021100276
SAMEA2466890	Dice	gtdb207	refKrak	0.1486761710794297	0.5754824063564131	0.16	0.1807628524046434
SAMEA2466891	TP	gtdb207	refKrak	442.0	159.0	378.0	381.0
SAMEA2466891	FN	gtdb207	refKrak	9.0	292.0	73.0	70.0
SAMEA2466891	FP	gtdb207	refKrak	277.0	9.0	29.0	23.0
SAMEA2466891	TN	gtdb207	refKrak	4153.0	4421.0	4401.0	4407.0
SAMEA2466891	TPR	gtdb207	refKrak	0.980044345876274	0.3525498891274379	0.8381374722652297	0.8447893569657474
SAMEA2466891	FPR	gtdb207	refKrak	0.0625282167041478	0.002031602708799	0.006546275395019	0.005191873589153
SAMEA2466891	TNR	gtdb207	refKrak	0.9374717832935948	0.9979683972889436	0.9934537246027236	0.9948081264085896
SAMEA2466891	FNR	gtdb207	refKrak	0.019955654101553	0.6474501108503892	0.1618625277125973	0.1552106430120796
SAMEA2466891	PPV	gtdb207	refKrak	0.6147426981833832	0.9464285713722363	0.9287469287241094	0.9430693069073498
SAMEA2466891	NPV	gtdb207	refKrak	0.9978375780850604	0.9380437088883132	0.9836835046915876	0.9843645298168766
SAMEA2466891	FDR	gtdb207	refKrak	0.3852573018027085	0.0535714285682397	0.0712530712513205	0.0569306930678977
SAMEA2466891	FOR	gtdb207	refKrak	0.0021624219125368	0.0619562911095651	0.0163164953061772	0.0156354701808898
SAMEA2466891	P_T	gtdb207	refKrak	0.1473058799426347	0.034419176398279	0.0833845523458307	0.0827699241958615
SAMEA2466891	P_F	gtdb207	refKrak	0.8526941200573653	0.9655808236017208	0.9166154476541692	0.9172300758041384
SAMEA2466891	FPRA	gtdb207	refKrak	0.1233484723369028	0.1132140773571845	0.1355215746370381	0.0739561295824508
SAMEA2466891	FNRA	gtdb207	refKrak	0.0030302121148474	0.3544548118368113	0.194183592851495	0.1306891482403726
SAMEA2466891	F1	gtdb207	refKrak	0.7555555555490979	0.513731825516741	0.8811188811086117	0.8912280701650148
SAMEA2466891	ACC	gtdb207	refKrak	0.941405449701001	0.9383323089511608	0.9791026428990388	0.9809465273489428
SAMEA2466891	Dice	gtdb207	refKrak	0.2444444444444444	0.4862681744749596	0.1188811188811188	0.1087719298245614
SAMEA2466892	TP	gtdb207	refKrak	422.0	160.0	380.0	376.0
SAMEA2466892	FN	gtdb207	refKrak	14.0	276.0	56.0	60.0
SAMEA2466892	FP	gtdb207	refKrak	177.0	10.0	31.0	17.0
SAMEA2466892	TN	gtdb207	refKrak	4268.0	4435.0	4414.0	4428.0
SAMEA2466892	TPR	gtdb207	refKrak	0.9678899082346816	0.3669724770558034	0.871559633007533	0.862385321081138
SAMEA2466892	FPR	gtdb207	refKrak	0.0398200224970982	0.0022497187851467	0.006974128233955	0.0038245219347495
SAMEA2466892	TNR	gtdb207	refKrak	0.960179977500652	0.9977502812126036	0.9930258717637952	0.9961754780630008
SAMEA2466892	FNR	gtdb207	refKrak	0.0321100917423827	0.6330275229212609	0.1284403669695311	0.1376146788959262
SAMEA2466892	PPV	gtdb207	refKrak	0.7045075125091067	0.941176470532872	0.9245742092232464	0.9567430025201846
SAMEA2466892	NPV	gtdb207	refKrak	0.9967304997641364	0.9414137125855628	0.9874720357919744	0.9866310160405825
SAMEA2466892	FDR	gtdb207	refKrak	0.2954924874741987	0.0588235294083044	0.0754257907524227	0.04325699745437
SAMEA2466892	FOR	gtdb207	refKrak	0.003269500233528	0.0585862874123146	0.0125279642057885	0.0133689839571894
SAMEA2466892	P_T	gtdb207	refKrak	0.1227207539438639	0.0348289284982585	0.0842040565457898	0.0805162876459741
SAMEA2466892	P_F	gtdb207	refKrak	0.877279246056136	0.9651710715017414	0.9157959434542102	0.9194837123540258
SAMEA2466892	FPRA	gtdb207	refKrak	0.0541623843782087	0.0026945016167007	0.1383792993458952	0.0065691980292401
SAMEA2466892	FNRA	gtdb207	refKrak	0.0045705027553024	0.2628189100800945	0.1642480672873988	0.0430547360209593
SAMEA2466892	F1	gtdb207	refKrak	0.8154589371901889	0.5280528052718143	0.8972845336375763	0.907117008432966
SAMEA2466892	ACC	gtdb207	refKrak	0.960868674449988	0.941405449701001	0.982175783648879	0.9842245441487724
SAMEA2466892	Dice	gtdb207	refKrak	0.1845410628019323	0.4719471947194719	0.1027154663518299	0.0928829915560916
SAMEA2466893	TP	gtdb207	refKrak	316.0	129.0	278.0	287.0
SAMEA2466893	FN	gtdb207	refKrak	4.0	191.0	42.0	33.0
SAMEA2466893	FP	gtdb207	refKrak	247.0	7.0	22.0	9.0
SAMEA2466893	TN	gtdb207	refKrak	4314.0	4554.0	4539.0	4552.0
SAMEA2466893	TPR	gtdb207	refKrak	0.9874999999691406	0.4031249999874023	0.8687499999728515	0.8968749999719726
SAMEA2466893	FPR	gtdb207	refKrak	0.0541547906159742	0.0015347511510599	0.0048235036176171	0.0019732514799342
SAMEA2466893	TNR	gtdb207	refKrak	0.9458452093818333	0.9984652488467476	0.9951764963801903	0.9980267485178732
SAMEA2466893	FNR	gtdb207	refKrak	0.0124999999996093	0.5968749999813476	0.1312499999958984	0.1031249999967773
SAMEA2466893	PPV	gtdb207	refKrak	0.5612788632227126	0.948529411694961	0.9266666666357778	0.969594594561838
SAMEA2466893	NPV	gtdb207	refKrak	0.9990736452038004	0.959747102210833	0.990831696134052	0.9928026172279328
SAMEA2466893	FDR	gtdb207	refKrak	0.4387211367595254	0.0514705882315095	0.0733333333308888	0.0304054054043781
SAMEA2466893	FOR	gtdb207	refKrak	0.0009263547938839	0.0402528977870595	0.0091683038637651	0.0071973827698861
SAMEA2466893	P_T	gtdb207	refKrak	0.1153452161442327	0.0278631427986068	0.0614628149969268	0.0606433107969678
SAMEA2466893	P_F	gtdb207	refKrak	0.8846547838557672	0.9721368572013932	0.9385371850030731	0.9393566892030322
SAMEA2466893	FPRA	gtdb207	refKrak	0.0977567400699711	0.0497138099427619	0.0638295779152244	0.0220979110489551
SAMEA2466893	FNRA	gtdb207	refKrak	0.0029399118026456	0.4635460936171771	0.1343659690209264	0.051688449346517
SAMEA2466893	F1	gtdb207	refKrak	0.7157417893463676	0.5657894736718029	0.896774193533923	0.9318181818030548
SAMEA2466893	ACC	gtdb207	refKrak	0.9485761114506278	0.9594345421000626	0.9868879327986336	0.9913952058983992
SAMEA2466893	Dice	gtdb207	refKrak	0.2842582106455266	0.4342105263157895	0.1032258064516129	0.0681818181818181
SAMEA2466894	TP	gtdb207	refKrak	366.0	135.0	319.0	327.0
SAMEA2466894	FN	gtdb207	refKrak	9.0	240.0	56.0	48.0
SAMEA2466894	FP	gtdb207	refKrak	244.0	11.0	28.0	16.0
SAMEA2466894	TN	gtdb207	refKrak	4262.0	4495.0	4478.0	4490.0
SAMEA2466894	TPR	gtdb207	refKrak	0.9759999999739734	0.3599999999904	0.8506666666439822	0.8719999999767466
SAMEA2466894	FPR	gtdb207	refKrak	0.0541500221925118	0.0024411895250722	0.0062139369729111	0.0035508211273778
SAMEA2466894	TNR	gtdb207	refKrak	0.9458499778052688	0.9975588104727086	0.9937860630248696	0.996449178870403
SAMEA2466894	FNR	gtdb207	refKrak	0.02399999999936	0.6399999999829333	0.1493333333293511	0.1279999999965866
SAMEA2466894	PPV	gtdb207	refKrak	0.599999999990164	0.9246575341832426	0.9193083573222102	0.9533527696515056
SAMEA2466894	NPV	gtdb207	refKrak	0.9978927651580476	0.9493136219620922	0.9876488751632384	0.9894226531489876
SAMEA2466894	FDR	gtdb207	refKrak	0.3999999999934426	0.0753424657482642	0.0806916426489714	0.0466472303193397
