Simulation	Sample	Richness
refMet4	SAMEA2466887	259
refMet4	SAMEA2466888	214
refMet4	SAMEA2466889	301
refMet4	SAMEA2466890	236
refMet4	SAMEA2466891	216
refMet4	SAMEA2466892	221
refMet4	SAMEA2466893	190
refMet4	SAMEA2466894	166
refMet4	SAMEA2466895	192
refMet4	SAMEA2466896	115
refMet4	SAMEA2466897	265
refMet4	SAMEA2466898	255
refMet4	SAMEA2466899	268
refMet4	SAMEA2466900	149
refMet4	SAMEA2466901	215
refMet4	SAMEA2466902	142
refMet4	SAMEA2466903	265
refMet4	SAMEA2466904	237
refMet4	SAMEA2466905	196
refMet4	SAMEA2466906	275
refMet4	SAMEA2466907	116
refMet4	SAMEA2466908	271
refMet4	SAMEA2466910	220
refMet4	SAMEA2466911	328
refMet4	SAMEA2466912	150
refMet4	SAMEA2466913	262
refMet4	SAMEA2466914	214
refMet4	SAMEA2466915	212
refMet4	SAMEA2466916	154
refMet4	SAMEA2466917	69
refMet4	SAMEA2466918	226
refMet4	SAMEA2466920	91
refMet4	SAMEA2466921	221
refMet4	SAMEA2466922	161
refMet4	SAMEA2466923	110
refMet4	SAMEA2466924	137
refMet4	SAMEA2466925	318
refMet4	SAMEA2466926	182
refMet4	SAMEA2466927	236
refMet4	SAMEA2466928	159
refMet4	SAMEA2466930	277
refMet4	SAMEA2466931	199
refMet4	SAMEA2466932	297
refMet4	SAMEA2466933	156
refMet4	SAMEA2466934	278
refMet4	SAMEA2466935	180
refMet4	SAMEA2466936	149
refMet4	SAMEA2466937	227
refMet4	SAMEA2466938	256
refMet4	SAMEA2466939	260
refMet4	SAMEA2466940	247
refMet4	SAMEA2466941	161
refMet4	SAMEA2466942	321
refMet4	SAMEA2466943	323
refMet4	SAMEA2466944	176
refMet4	SAMEA2466945	265
refMet4	SAMEA2466946	166
refMet4	SAMEA2466947	232
refMet4	SAMEA2466948	190
refMet4	SAMEA2466949	254
refMet4	SAMEA2466950	232
refMet4	SAMEA2466951	321
refMet4	SAMEA2466952	184
refMet4	SAMEA2466953	279
refMet4	SAMEA2466954	141
refMet4	SAMEA2466955	284
refMet4	SAMEA2466956	155
refMet4	SAMEA2466957	231
refMet4	SAMEA2466958	159
refMet4	SAMEA2466959	302
refMet4	SAMEA2466960	166
refMet4	SAMEA2466961	203
refMet4	SAMEA2466962	265
refMet4	SAMEA2466963	266
refMet4	SAMEA2466964	285
refMet4	SAMEA2466965	228
refMet4	SAMEA2466966	165
refMet4	SAMEA2466967	266
refMet4	SAMEA2466968	211
refMet4	SAMEA2466969	195
refMet4	SAMEA2466970	171
refMet4	SAMEA2466971	328
refMet4	SAMEA2466972	312
refMet4	SAMEA2466973	289
refMet4	SAMEA2466974	274
refMet4	SAMEA2466975	202
refMet4	SAMEA2466976	265
refMet4	SAMEA2466977	249
refMet4	SAMEA2466979	239
refMet4	SAMEA2466980	150
refMet4	SAMEA2466981	148
refMet4	SAMEA2466983	233
refMet4	SAMEA2466984	333
refMet4	SAMEA2466986	290
refMet4	SAMEA2466987	128
refMet4	SAMEA2466988	302
refMet4	SAMEA2466989	227
refMet4	SAMEA2466991	244
refMet4	SAMEA2466992	267
refMet4	SAMEA2466993	291
refMet4	SAMEA2466995	259
refMet4	SAMEA2466996	317
refMet4	SAMEA2466997	165
refMet4	SAMEA2466998	118
refMet4	SAMEA2466999	150
refMet4	SAMEA2467001	103
refMet4	SAMEA2467002	158
refMet4	SAMEA2467003	177
refMet4	SAMEA2467004	215
refMet4	SAMEA2467006	334
refMet4	SAMEA2467008	220
refMet4	SAMEA2467009	58
refMet4	SAMEA2467010	195
refMet4	SAMEA2467011	114
refMet4	SAMEA2467012	263
refMet4	SAMEA2467013	264
refMet4	SAMEA2467014	202
refMet4	SAMEA2467015	215
refMet4	SAMEA2467016	244
refMet4	SAMEA2467017	260
refMet4	SAMEA2467018	155
refMet4	SAMEA2467019	294
refMet4	SAMEA2467020	319
refMet4	SAMEA2467021	286
refMet4	SAMEA2467022	281
refMet4	SAMEA2467023	114
refMet4	SAMEA2467024	260
refMet4	SAMEA2467025	238
refMet4	SAMEA2467026	225
refMet4	SAMEA2467027	309
refMet4	SAMEA2467028	222
refMet4	SAMEA2467029	346
refMet4	SAMEA2467030	237
