Simulation	Sample	Shannon
refMet4	SAMEA2466887	5.629895405780654
refMet4	SAMEA2466888	6.1797064730499125
refMet4	SAMEA2466889	5.713983216564253
refMet4	SAMEA2466890	6.13515062717972
refMet4	SAMEA2466891	5.718913816873133
refMet4	SAMEA2466892	5.472030296798761
refMet4	SAMEA2466893	5.037800354318497
refMet4	SAMEA2466894	5.134972349167175
refMet4	SAMEA2466895	5.55740242925449
refMet4	SAMEA2466896	3.6920006955585083
refMet4	SAMEA2466897	6.372928167068376
refMet4	SAMEA2466898	5.147262228458908
refMet4	SAMEA2466899	6.149532406968669
refMet4	SAMEA2466900	3.7350799294410866
refMet4	SAMEA2466901	4.551376118515385
refMet4	SAMEA2466902	5.072638639170438
refMet4	SAMEA2466903	6.065098140125096
refMet4	SAMEA2466904	5.610206490307046
refMet4	SAMEA2466905	5.700488394196834
refMet4	SAMEA2466906	6.15573436870479
refMet4	SAMEA2466907	4.7577035417605655
refMet4	SAMEA2466908	6.375150167823466
refMet4	SAMEA2466910	5.723161823791266
refMet4	SAMEA2466911	6.866276308796294
refMet4	SAMEA2466912	4.671781694189613
refMet4	SAMEA2466913	6.084442530065742
refMet4	SAMEA2466914	5.655969903810327
refMet4	SAMEA2466915	4.771340955336925
refMet4	SAMEA2466916	4.891596879276588
refMet4	SAMEA2466917	3.9869082568358842
refMet4	SAMEA2466918	5.552131665391168
refMet4	SAMEA2466920	4.490167402094243
refMet4	SAMEA2466921	5.168379846628627
refMet4	SAMEA2466922	4.95388633353123
refMet4	SAMEA2466923	4.223963265755709
refMet4	SAMEA2466924	5.158613635731548
refMet4	SAMEA2466925	6.657538282942502
refMet4	SAMEA2466926	4.691497536866414
refMet4	SAMEA2466927	6.215904746308324
refMet4	SAMEA2466928	4.880172118015314
refMet4	SAMEA2466930	5.54267050041292
refMet4	SAMEA2466931	5.773975004530335
refMet4	SAMEA2466932	6.6666539399840286
refMet4	SAMEA2466933	4.682958125794907
refMet4	SAMEA2466934	5.968077872420774
refMet4	SAMEA2466935	5.625867503423213
refMet4	SAMEA2466936	4.939996269792815
refMet4	SAMEA2466937	5.740130947319578
refMet4	SAMEA2466938	5.771201490346529
refMet4	SAMEA2466939	5.59422904732538
refMet4	SAMEA2466940	5.850667101068381
refMet4	SAMEA2466941	5.588586726996784
refMet4	SAMEA2466942	6.2386309251489
refMet4	SAMEA2466943	6.240706039405705
refMet4	SAMEA2466944	4.458089714705801
refMet4	SAMEA2466945	6.227840638746622
refMet4	SAMEA2466946	5.640259088407104
refMet4	SAMEA2466947	6.260321789199423
refMet4	SAMEA2466948	5.844787737953185
refMet4	SAMEA2466949	6.134416290394196
refMet4	SAMEA2466950	4.683850447630366
refMet4	SAMEA2466951	6.550632563077523
refMet4	SAMEA2466952	5.571142616148203
refMet4	SAMEA2466953	6.060974835088528
refMet4	SAMEA2466954	5.248726655729981
refMet4	SAMEA2466955	6.0930256051411
refMet4	SAMEA2466956	5.3080483095890205
refMet4	SAMEA2466957	5.940689898619899
refMet4	SAMEA2466958	4.95113799271057
refMet4	SAMEA2466959	5.2298867614834705
refMet4	SAMEA2466960	5.141003295467003
refMet4	SAMEA2466961	5.3805848646691885
refMet4	SAMEA2466962	5.356643817665237
refMet4	SAMEA2466963	6.3505652961212204
refMet4	SAMEA2466964	6.379563962183795
refMet4	SAMEA2466965	6.084594300304475
refMet4	SAMEA2466966	5.3593373895085525
refMet4	SAMEA2466967	6.416822025085137
refMet4	SAMEA2466968	5.39848459504754
refMet4	SAMEA2466969	4.611977718672874
refMet4	SAMEA2466970	5.429809835352746
refMet4	SAMEA2466971	5.998561868928334
refMet4	SAMEA2466972	6.0344116607545875
refMet4	SAMEA2466973	5.898250237560247
refMet4	SAMEA2466974	5.268794931668045
refMet4	SAMEA2466975	5.517700573004989
refMet4	SAMEA2466976	6.323975168267699
refMet4	SAMEA2466977	5.572284344698811
refMet4	SAMEA2466979	5.866993894220856
refMet4	SAMEA2466980	5.098426348925879
refMet4	SAMEA2466981	4.791770555540369
refMet4	SAMEA2466983	5.206272868047064
refMet4	SAMEA2466984	6.019423726673796
refMet4	SAMEA2466986	6.24477928340051
refMet4	SAMEA2466987	4.7807705074137585
refMet4	SAMEA2466988	6.33809646577031
refMet4	SAMEA2466989	5.282388023337022
refMet4	SAMEA2466991	6.309909136569179
refMet4	SAMEA2466992	5.974286573855983
refMet4	SAMEA2466993	6.176447052964987
refMet4	SAMEA2466995	6.052215836148159
refMet4	SAMEA2466996	6.438624732225566
refMet4	SAMEA2466997	5.3859559463429765
refMet4	SAMEA2466998	5.3773724965390395
refMet4	SAMEA2466999	5.219304242287885
refMet4	SAMEA2467001	4.45302748493741
refMet4	SAMEA2467002	5.0294641490723695
refMet4	SAMEA2467003	5.755321019928153
refMet4	SAMEA2467004	5.408603374364515
refMet4	SAMEA2467006	6.130621859815579
refMet4	SAMEA2467008	5.3806647954273785
refMet4	SAMEA2467009	3.890774129961468
refMet4	SAMEA2467010	4.775489088126231
refMet4	SAMEA2467011	4.613429217271357
refMet4	SAMEA2467012	5.930727608601419
refMet4	SAMEA2467013	5.838385986116528
refMet4	SAMEA2467014	5.707518086277412
refMet4	SAMEA2467015	5.631570995282344
refMet4	SAMEA2467016	5.73370687316437
refMet4	SAMEA2467017	5.791799696983342
refMet4	SAMEA2467018	5.0470364440174045
refMet4	SAMEA2467019	5.808302099585062
refMet4	SAMEA2467020	6.717078178119274
refMet4	SAMEA2467021	6.292552784645458
refMet4	SAMEA2467022	5.526579889701988
refMet4	SAMEA2467023	5.306424060242045
refMet4	SAMEA2467024	5.48560223000714
refMet4	SAMEA2467025	5.84479532171419
refMet4	SAMEA2467026	6.121114311031178
refMet4	SAMEA2467027	6.07243532303097
refMet4	SAMEA2467028	5.789168120912424
refMet4	SAMEA2467029	6.294651580652815
refMet4	SAMEA2467030	5.4018433517298226
refMet4	SAMEA2467031	6.475549235200284
refMet4	SAMEA2467032	3.649344537964997
refMet4	SAMEA2467033	5.657615737124452
refMet4	SAMEA2467034	6.147426854981532
refMet4	SAMEA2467035	6.66828434523964
refMet4	SAMEA2467036	6.663716342644631
refMet4	SAMEA2467037	5.675765834650146
refMet4	SAMEA2467038	4.528809099443634
refMet4	SAMEA2467039	6.520901071308073
refMet4	SAMEA2467040	5.28845293386634
refMet4	SAMEA2467041	5.668494529831795
refMet4	SAMEA2467042	5.809500004322992
refMet4	SAMEA2467043	5.24434680026845
refMet4	SAMEA2467044	5.408866041767469
refMet4	SAMEA2467045	5.586981529394086
refMet4	SAMEA2467046	6.140074866762805
refMet4	SAMEA2467047	4.296485391499791
refMet4	SAMEA2467048	5.250711767702688
refMet4	SAMEA2467049	5.930925042290563
refMet4	SAMEA2467050	6.048850940502689
refMet4	SAMEA2467051	5.598696508522614
refMet4	SAMEA2467052	5.730235105269605
refMet4	SAMEA2467053	4.49061761733019
refMet4	SAMEA2467054	6.220163383223834
refMet4	SAMEA2467055	6.570334844036724
refMet4	SAMEA2467056	5.795514370632859
refMet4	SAMEA2467057	5.247085460335291
refMet4	SAMEA2467058	5.512026864557899
refMet4	SAMEA2467059	4.262493794033593
refMet4	SAMEA2467060	5.4750923163991
refMet4	SAMEA2467061	5.770411116610749
refMet4	SAMEA2467062	5.07720617871229
refMet4	SAMEA2467063	5.60191883860978
refMet4	SAMEA2467064	5.248318765690656
refMet4	SAMEA2467065	5.787805836818286
refMet4	SAMEA2467066	5.853398569427995
refMet4	SAMEA2467067	6.1562692698517365
refMet4	SAMEA2467068	4.660793128934593
refMet4	SAMEA2467069	5.201804018194493
refMet4	SAMEA2467070	5.144920306318196
refMet4	SAMEA2467071	5.3708402410918445
refMet4	SAMEA2467072	5.592419273364095
refMet4	SAMEA2467073	6.085171744984268
refMet4	SAMEA2467074	5.479656954649883
refMet4	SAMEA2467075	5.985030513758822
refMet4	SAMEA2467076	6.345355712763319
refMet4	SAMEA2467077	6.0028685675253985
refMet4	SAMEA2467078	6.045184797223
refMet4	SAMEA2467079	3.9239969838778648
refMet4	SAMEA2467080	5.740992955668643
refMet4	SAMEA2467081	5.997877818703253
refMet4	SAMEA2467082	3.537081041639885
refMet4	SAMEA2467083	5.740274489437989
refMet4	SAMEA2467084	5.603716905068416
refMet4	SAMEA2467085	5.142002520646451
refMet4	SAMEA3136623	4.481466019876291
refMet4	SAMEA3136624	5.0757970855087
refMet4	SAMEA3136625	5.5650198533735615
refMet4	SAMEA3136626	3.982464439323351
refMet4	SAMEA3136627	6.081571119014623
refMet4	SAMEA3136628	5.361724728811654
refMet4	SAMEA3136629	6.305093625955577
refMet4	SAMEA3136630	6.268549335723782
refMet4	SAMEA3136631	5.127022776427353
refMet4	SAMEA3136632	5.85012548444014
refMet4	SAMEA3136633	3.828279143705449
refMet4	SAMEA3136634	5.776269620068694
refMet4	SAMEA3136635	3.9394046446908972
refMet4	SAMEA3136636	3.854424993960756
refMet4	SAMEA3136637	5.7269329508214195
refMet4	SAMEA3136638	5.782118328868709
refMet4	SAMEA3136639	3.4631293672245866
refMet4	SAMEA3136640	3.662739659104016
refMet4	SAMEA3136641	5.971947248325545
refMet4	SAMEA3136642	6.356846024914607
refMet4	SAMEA3136643	4.834517646248677
refMet4	SAMEA3136644	6.507823364895007
refMet4	SAMEA3136645	5.202519840130414
refMet4	SAMEA3136646	3.5334234734204197
refMet4	SAMEA3136648	5.9285818916251305
refMet4	SAMEA3136649	3.6388218870954265
refMet4	SAMEA3136650	3.1355749254311953
refMet4	SAMEA3136651	5.276129647504555
refMet4	SAMEA3136652	5.767765878224221
refMet4	SAMEA3136653	5.045391237805235
refMet4	SAMEA3136654	6.318304379307911
refMet4	SAMEA3136655	4.665872965843285
refMet4	SAMEA3136656	5.098843187327393
refMet4	SAMEA3136657	4.294679479719205
refMet4	SAMEA3136658	6.780362914386635
refMet4	SAMEA3136659	5.7569024555849095
refMet4	SAMEA3136660	4.56651003997342
refMet4	SAMEA3136661	4.329137821304779
refMet4	SAMEA3136662	4.853739621566549
refMet4	SAMEA3136663	4.911932949322042
refMet4	SAMEA3136664	5.593672295881317
refMet4	SAMEA3136665	3.8089359330572643
refMet4	SAMEA3136666	5.2736054135996975
refMet4	SAMEA3136667	5.71649119770998
refMet4	SAMEA3136668	4.777923608631295
refMet4	SAMEA3136669	5.4028032769538905
refMet4	SAMEA3136670	5.832479665288619
refMet4	SAMEA3136671	5.71507455777478
refMet4	SAMEA3136672	5.851913228236752
refMet4	SAMEA3136673	5.312927834321603
refMet4	SAMEA3136674	4.887549738353288
refMet4	SAMEA3136675	6.243718741404777
refMet4	SAMEA3136676	5.838326332463711
refMet4	SAMEA3136677	1.897548617246182
refMet4	SAMEA3136678	5.117829115657508
refMet4	SAMEA3136679	4.215153723486258
refMet4	SAMEA3136680	5.487527302878631
refMet4	SAMEA3136681	3.7602158749189694
refMet4	SAMEA3136682	5.132155233353018
refMet4	SAMEA3136683	6.010362999257509
refMet4	SAMEA3136684	6.3661327505634135
refMet4	SAMEA3136685	5.411116837090258
refMet4	SAMEA3136686	4.729680326200608
refMet4	SAMEA3136687	4.818675105986719
refMet4	SAMEA3136688	5.481997245710769
refMet4	SAMEA3136689	6.226062134547712
refMet4	SAMEA3136690	3.2693215109016123
refMet4	SAMEA3136691	5.210045605232083
refMet4	SAMEA3136692	3.4271391903327006
refMet4	SAMEA3136693	4.98888713538276
refMet4	SAMEA3136694	6.0629900184044745
refMet4	SAMEA3136695	5.914018330726478
refMet4	SAMEA3136696	5.533470266150397
refMet4	SAMEA3136697	5.450991614220644
refMet4	SAMEA3136698	5.780138102098432
refMet4	SAMEA3136699	6.511286292978356
refMet4	SAMEA3136700	6.420379464030326
refMet4	SAMEA3136701	5.660405362652354
refMet4	SAMEA3136702	2.644601321009859
refMet4	SAMEA3136703	4.76365974716158
refMet4	SAMEA3136704	5.73609809151668
refMet4	SAMEA3136705	6.283046302318367
refMet4	SAMEA3136706	4.828729095508751
refMet4	SAMEA3136707	6.043966736627535
refMet4	SAMEA3136708	4.8033587403401246
refMet4	SAMEA3136709	6.0902377018114775
refMet4	SAMEA3136710	3.429972256736056
refMet4	SAMEA3136711	4.288138453052295
refMet4	SAMEA3136712	4.217325352737886
refMet4	SAMEA3136713	6.188034788882237
refMet4	SAMEA3136714	5.078994453406119
refMet4	SAMEA3136715	4.499097058257259
refMet4	SAMEA3136716	5.461248020072738
refMet4	SAMEA3136717	5.2279679273736805
refMet4	SAMEA3136718	6.5460648571226105
refMet4	SAMEA3136719	5.152579165434501
refMet4	SAMEA3136720	4.19270144623283
refMet4	SAMEA3136721	5.278356619437883
refMet4	SAMEA3136722	3.2323813681589275
refMet4	SAMEA3136723	5.182495846871029
refMet4	SAMEA3136724	5.091044789565583
refMet4	SAMEA3136725	5.3555013374803675
refMet4	SAMEA3136726	5.52490012641178
refMet4	SAMEA3136727	6.397805651277194
refMet4	SAMEA3136728	5.812660183819161
refMet4	SAMEA3136729	6.79840934088962
refMet4	SAMEA3136730	5.0540042449206535
refMet4	SAMEA3136731	5.551764483351868
refMet4	SAMEA3136732	5.941087128419449
refMet4	SAMEA3136733	5.2209172750840365
