genomes	SAMEA2466922	SAMEA3136635	SAMEA2467056	SAMEA3136711	SAMEA3136712	SAMEA2467068	SAMEA2467065	SAMEA3136680	SAMEA3136708	SAMEA2467032	SAMEA2467085	SAMEA2466902	SAMEA3178939	SAMEA2467021	SAMEA2467070	SAMEA2467057	SAMEA3136623	SAMEA2467034	SAMEA3136683	SAMEA3136734	SAMEA2467059	SAMEA3136760	SAMEA2467010	SAMEA2467072	SAMEA3136727	SAMEA2467066	SAMEA3136747	SAMEA3136756	SAMEA2467077	SAMEA2466917	SAMEA2467054	SAMEA3136749	SAMEA2467013	SAMEA2466932	SAMEA3136741	SAMEA3136628	SAMEA3136662	SAMEA3136731	SAMEA3136722	SAMEA2467082	SAMEA2466918	SAMEA3136638	SAMEA2467033	SAMEA3136625	SAMEA3136630	SAMEA3136709	SAMEA3136649	SAMEA2466967	SAMEA3136656	SAMEA2467048	SAMEA2466910	SAMEA2466928	SAMEA3136767	SAMEA3136723	SAMEA3136696	SAMEA3136736	SAMEA2466939	SAMEA2466997	SAMEA2466899	SAMEA2467025	SAMEA3136658	SAMEA3136667	SAMEA2466934	SAMEA3136764	SAMEA2467023	SAMEA3136672	SAMEA3136631	SAMEA2466915	SAMEA2466996	SAMEA2466913	SAMEA2466940	SAMEA3136694	SAMEA2466903	SAMEA3136650	SAMEA3136697	SAMEA2466898	SAMEA3136678	SAMEA3136642	SAMEA2467036	SAMEA3136740	SAMEA2466980	SAMEA3136748	SAMEA3136732	SAMEA3136655	SAMEA2466904	SAMEA2467049	SAMEA2466900	SAMEA2466936	SAMEA2467016	SAMEA2466943	SAMEA2466897	SAMEA3136665	SAMEA2466950	SAMEA3136648	SAMEA3136706	SAMEA3136646	SAMEA3136661	SAMEA3136762	SAMEA3136660	SAMEA3136629	SAMEA3136687	SAMEA3136735	SAMEA2466937	SAMEA2466889	SAMEA3136759	SAMEA3136763	SAMEA3136753	SAMEA2467003	SAMEA3136673	SAMEA2467002	SAMEA2467039	SAMEA2466975	SAMEA3136689	SAMEA3136676	SAMEA3136664	SAMEA3136754	SAMEA2467076	SAMEA3136674	SAMEA3136685	SAMEA3136671	SAMEA2466921	SAMEA3136688	SAMEA3136679	SAMEA2466935	SAMEA2466947	SAMEA3136670	SAMEA3136733	SAMEA3136644	SAMEA2466891	SAMEA3136700	SAMEA2466901	SAMEA3136626	SAMEA3136707	SAMEA2467058	SAMEA2466916	SAMEA2466912	SAMEA2466973	SAMEA2467067	SAMEA2467006	SAMEA3136641	SAMEA2467069	SAMEA3136713	SAMEA2466993	SAMEA3136739	SAMEA3178936	SAMEA3136682	SAMEA3136751	SAMEA2466945	SAMEA3136684	SAMEA3136743	SAMEA2467075	SAMEA2467001	SAMEA3136710	SAMEA3136744	SAMEA2466960	SAMEA2466988	SAMEA3136653	SAMEA2467027	SAMEA2466984	SAMEA2466999	SAMEA3178943	SAMEA3136729	SAMEA3136669	SAMEA2466914	SAMEA2467044	SAMEA2466924	SAMEA2466895	SAMEA3136657	SAMEA3136690	SAMEA2467019	SAMEA3136737	SAMEA2467014	SAMEA2467084	SAMEA3136651	SAMEA2466981	SAMEA2466959	SAMEA3136691	SAMEA2466887	SAMEA2466948	SAMEA3136652	SAMEA2467008	SAMEA3178937	SAMEA3136659	SAMEA2467042	SAMEA2467074	SAMEA2466907	SAMEA2467012	SAMEA2466968	SAMEA3136721	SAMEA2466972	SAMEA3136755	SAMEA2466911	SAMEA3136716	SAMEA3136725	SAMEA2466933	SAMEA2467017	SAMEA2467052	SAMEA2466926	SAMEA3136695	SAMEA3178944	SAMEA2467050	SAMEA3136668	SAMEA2466963	SAMEA2466892	SAMEA2466986	SAMEA3136761	SAMEA2467053	SAMEA3136675	SAMEA3136633	SAMEA2467062	SAMEA2466989	SAMEA2466952	SAMEA2467024	SAMEA2467037	SAMEA3136705	SAMEA3136757	SAMEA2466971	SAMEA3136704	SAMEA3136714	SAMEA2467031	SAMEA2466888	SAMEA3136702	SAMEA2467035	SAMEA3136643	SAMEA3136768	SAMEA2466905	SAMEA3136663	SAMEA2466958	SAMEA2467020	SAMEA2467018	SAMEA3136681	SAMEA3136699	SAMEA2466925	SAMEA3178940	SAMEA3136750	SAMEA3136703	SAMEA2467009	SAMEA3136627	SAMEA3136752	SAMEA2467030	SAMEA3136634	SAMEA2466923	SAMEA2466964	SAMEA2466970	SAMEA2466949	SAMEA2467078	SAMEA2466983	SAMEA2467055	SAMEA2466992	SAMEA2467026	SAMEA3136745	SAMEA2467004	SAMEA2466965	SAMEA2466995	SAMEA2467041	SAMEA2467029	SAMEA3136637	SAMEA2466955	SAMEA3136693	SAMEA2467038	SAMEA2466957	SAMEA2466974	SAMEA3178941	SAMEA2467073	SAMEA3136758	SAMEA2467045	SAMEA2467028	SAMEA2467011	SAMEA2467047	SAMEA2467015	SAMEA2466991	SAMEA3136724	SAMEA3136717	SAMEA2467040	SAMEA3136720	SAMEA3136746	SAMEA3136624	SAMEA3136640	SAMEA2467060	SAMEA2466944	SAMEA2466894	SAMEA2467071	SAMEA2466930	SAMEA3136654	SAMEA2466954	SAMEA3136698	SAMEA2467051	SAMEA2466942	SAMEA2466953	SAMEA2466890	SAMEA2466938	SAMEA2466979	SAMEA3136738	SAMEA3178938	SAMEA2466977	SAMEA3178942	SAMEA2466966	SAMEA2466951	SAMEA3136728	SAMEA2466961	SAMEA3136765	SAMEA3136692	SAMEA2466976	SAMEA3136769	SAMEA2466931	SAMEA2466908	SAMEA2467081	SAMEA2466946	SAMEA3136766	SAMEA2466896	SAMEA3136666	SAMEA3136730	SAMEA2467064	SAMEA3136718	SAMEA2466987	SAMEA3136632	SAMEA2466927	SAMEA2466962	SAMEA3136636	SAMEA3136639	SAMEA2467046	SAMEA3136645	SAMEA3136742	SAMEA3136686	SAMEA2466941	SAMEA2466998	SAMEA2467022	SAMEA2467063	SAMEA3136647	SAMEA3136677	SAMEA2467079	SAMEA2466956	SAMEA2466893	SAMEA3136726	SAMEA3136719	SAMEA2467080	SAMEA2467043	SAMEA3136715	SAMEA2467061	SAMEA2466969	SAMEA2467083	SAMEA2466906	SAMEA3136701
MGYG000000001																				0.00014			0.00039		0.00017								0.00072																												0.00033							0.00078																	0.00039						0.00135									0.00065				0.00022									0.00012			9e-05																			0.00012				0.00066																				0.00015	0.00503								0.00505																							0.00166		0.0003														0.00147										0.00189												0.00171															0.00015	0.00048																	0.00027													0.00066								0.0008						0.00018																				0.00011			0.00015				0.00039					0.00014						0.0002									0.00019							
MGYG000000002		0.00688	0.01446	0.03143	0.01307	0.00012	0.0096	0.01871	0.00332	0.00038	0.00605	0.02218	0.00515	0.00618	0.00577	0.00296	0.00229	0.00747	0.00153	0.00604	0.00254	0.00705	0.00028	0.02417	0.00196	0.00687	0.00948	0.00192	0.01446		0.00125	0.0033	0.00288	0.00165	0.00586	0.00273	0.0119	0.00395	0.00242	0.00048	0.00999	0.01395	0.00146	0.00583	0.00398	0.00717	0.00417	0.00315	0.01132	0.00128	0.0153	0.00086	0.00029	0.0042	0.00148	0.0024	0.00158	0.00817	0.00348	0.00988	0.0049	0.00644	0.00061	0.0017	0.00502	0.01763	0.03795	0.00175	0.00657	0.00536	0.00549	0.00869	0.00796	0.00666	0.00311	0.00234	0.01498	0.00119	0.00912	0.00293	0.00711	0.00299	0.00504	0.01221	0.0024	0.00717	0.00038	0.00461	0.005	0.00102	0.0026	0.00093	0.00031	0.01377	0.00345	0.00412	0.00429	0.00263	0.04371	0.00342	0.00462	0.00254	0.00048	0.00071	0.00182	0.0088	0.00476	0.01045	0.00255	0.0004	0.01039	0.0048	0.0282	0.00809	0.00501	0.00577	0.0017	0.01524	0.0062	0.01779	0.00146	0.01342	0.00498	0.00215	0.00086	0.00388	0.00816	0.00202	0.0014	0.00577	0.00264	0.00607	0.00067	0.00067	0.0012	0.00126	0.01152	0.00383	0.00116	0.00143	0.00222	0.00383	0.00293	0.01035	0.00066	0.00619	0.00331	0.00225	0.00348	0.00523	0.00265		0.01727	0.00756	0.00025	0.00231	0.00727	0.00087	0.00075	0.00179	0.00094	0.01252	0.00027	0.00634	0.00119	0.0019	0.00104	0.00127	0.00051	0.00259	0.00529	0.00447	0.00236	0.00327	0.00436	0.00086	0.02343	0.00106	0.00168	0.01917	0.00258	0.00119	0.00775	0.00911	0.00095		0.0012	0.00613	0.00726	0.00296	0.00471	0.00147	0.00998	0.00213	0.00783	0.00166	0.0058	0.00386	0.00877	0.00563	0.00103	0.0064	0.00245	0.00071	0.00445	0.00264	0.00067	0.01556	0.00586	0.00176		0.00434	0.00052	0.00867	0.00238	0.00079	0.0109	0.00227	0.00983	0.00173	0.00654	0.02695	0.00208	0.02131	0.00013	0.01704	0.01415	0.00236	0.00234	0.00348		0.00171	0.00495	0.00053	0.01788	0.00702		0.00264	0.00239	0.00227	0.00315	0.004	0.00118	0.00704	0.00105	0.00154	0.00109	0.00422	0.00248	0.00628	0.00055	0.00265	0.00556	0.0047	0.01705	0.00078	0.01862	0.00236	0.04786	0.00047	0.00336	0.00633	0.00644	0.00339	0.00408	0.00941	0.00165	0.0077	0.00096	0.00684	0.00249	0.00476	0.00311	0.01094	0.00076	0.01339	0.00349	0.00071	0.00664	0.00115	0.00101	0.00171	0.00178	0.00801	0.01334	0.01191	0.00281	0.00066	0.00409	0.00134	0.00159	0.00798	0.00031	0.00604	0.00421	0.00408	0.00107	0.00103	0.01126	0.00099	0.00796	0.00117	0.00494	0.0015	0.00606	0.00443	0.00495	0.00163	0.00272	0.00095	0.01447	0.00252	0.0025	0.001	0.00013	0.00413	0.00068	0.00079	0.00639	0.01127	0.0009	0.00322	0.0088	0.02072	0.0013	0.00018	0.00968	0.01003		0.00216	0.00488	0.0003	0.00125	0.00871	0.00884	0.00569	0.00027	0.00437	0.01905	0.00108	0.00182	0.0008	0.00221
MGYG000000003	0.0256		0.00566		0.0004		0.00195	0.0002			0.0006	0.00154	0.00382	0.00054	0.0001	0.00014		0.00098	0.00267	0.00098	0.00099	0.00301	0.00166	0.00212	0.00484	0.00449		0.00013	0.002	0.00053	0.00554	0.00442	0.00141	0.00108	0.00376	0.00049		0.00134			0.00137	0.00239	0.01306		0.00094	0.00137		0.0021	0.00044	0.00088	0.00011	0.00355	0.00015	0.00293		0.00168	0.00314	0.00139	0.00176	0.00157	0.00132	0.00112	0.00249	0.00071		0.00124	0.00029	0.00125	0.00121	0.00455	0.00225		0.00037		0.00064	0.00073		0.00024	0.00215	0.00309		0.00032	0.00385		0.00063	0.0027	0.00013	0.00148	0.0037	0.00139	0.00162	0.0002	0.0109	0.00136	0.00039	0.00053		0.0001		0.00267		0.00016	0.00509	0.00086	0.00788	0.00153	0.00227	0.00151		0.00118	0.0065	0.00298	0.00035	0.00056	0.00061	0.00227	0.00562			0.00241	0.00215	0.00122			0.00016		0.00019	0.00139	0.00076	0.00558	0.00173		0.00055	0.02125	0.00052	0.00058	0.00016	0.00204	0.00073	0.00046	0.00224	0.00215	0.00026	0.00074		0.00029	0.00032	0.00594	0.0002	0.00076	0.00112				0.00174	0.00084		0.00247	0.00189	0.00053	0.00694	0.0088	0.01052	0.00212	0.00021	0.00373	0.01739		0.00045	0.00068		0.00238	0.00021	0.01232	0.00016	0.00053		0.00124	0.00217	0.0004	0.00018	0.00549	0.00039	0.001	0.00222	0.00027	0.00525	0.0001	0.00228	0.00363	0.00024	0.00117		0.00272	0.00039	0.00353	0.01618	0.00034		0.00627	0.00306	0.00082	0.00582	0.00239	0.00246	0.00044	0.0006	0.00048			0.00196	0.00015	0.00206	0.00392	0.0037	0.0018	0.00044	0.001		0.00022	0.00043		0.00185		0.00011		0.00101	0.00114	0.00042			0.01044	0.00376			0.00139		0.00108	0.00074	0.00018	0.00032	0.00114	0.00585	0.00014		0.00335	0.00183	0.00212	0.00035	0.0023	0.00043	0.00888	0.00241	0.00017	0.00142	0.00018		0.00492		0.0026	0.00036	0.00112	0.00263	0.00402		0.00086	0.00017	0.00371		0.00255	0.00234	0.00016	0.00067	0.00301		0.00525		0.0004	0.00741	0.00042	0.00062	0.00039	0.00075	0.00402	0.00627	0.00171	0.00803	0.00456	0.00019	0.00272	0.00165	0.00315	0.00054	0.00108	0.0011	0.00367	0.00197	0.00297	0.00074	0.00265	0.00021		0.00301		0.00038	0.00115	0.00082	0.0001						0.006	0.00254	0.00038	0.00681	0.00404			0.00548	0.00047	0.00062		0.00034	0.00076	0.00152	0.00354			0.00368	0.02825	0.00111	0.00093		0.00216	0.00129		0.00324	0.00157	0.00768	0.00605	0.0015
MGYG000000004	0.00016		0.00019				0.00033				8e-05	0.00011			0.00017	0.00014			0.00016	0.00013		0.00016		0.00068	0.00016	0.0018			0.00032	0.00013	0.00015	0.00012	0.00022	0.00012	0.00016		0.00024	0.00014			0.00025	0.00015	0.00064	0.00022	0.00022	0.00053		0.00016			0.00016	0.00113		0.00019		0.00022	0.00082	0.0017		0.00013	0.00018	0.00019	0.00016	0.00033	0.00016		0.00015		0.00013	0.00011	0.00013	0.00018	0.00016		0.0003			0.00025	0.00027	0.00033	0.00028		0.00044		0.00019	0.00027	0.00016	0.00034	0.00027	0.00088	0.00017			0.00015				0.00016		0.00028			0.00025	0.00014	0.00022	0.00014	0.00014	0.0002		0.00031	0.00025	0.00024	0.00015	0.00013		0.00022	0.00019	0.00018		0.00029		0.00038			0.00112		0.00013	0.00018	0.00027	0.00022			0.00026	0.00043				9e-05		0.00062	0.00013	0.00018	0.00028	0.00044	0.00027	0.0001	0.00028	0.00097	0.00024		0.00029	0.00063		0.00103	0.0003	0.00035	0.00072	0.00022			0.00055	0.00032	0.00043	0.0002	0.00022	9e-05	0.00011			0.00017		0.00035	7e-05	0.00013	9e-05		0.00024					0.00022	0.0003	0.00043	0.00021		0.00013	0.00012	0.00012	0.00032			0.00011	0.00052		0.00077	0.00021	0.00086	0.00015	0.00022	0.00024		0.00018		0.00015	9e-05		0.00018		0.00016	0.00013		0.00022	0.00018	0.00027			0.00011			0.00039	0.00035	0.00014			0.00036	0.00015	0.00017		0.00015	0.00018	0.00036	0.00021			0.00015	0.00016	0.00091	0.00016	0.00011	0.00013		0.00021	7e-05		0.00017		0.0009	0.0001	0.00068	0.00053	0.00086	0.00016	0.00012	0.00013			0.00015			0.00096	0.00019		0.00054		9e-05	0.00012			0.00035		0.00037	0.00254	0.00076		0.00023		0.00048	0.00016			9e-05		0.00029	0.0013	0.00014	0.00022	0.00016	0.00015	0.00025		0.00012	0.00023	0.00035	0.00026	0.00032		0.00021		0.00086		0.00092	0.0003		0.00013		0.00013	0.00011					0.00466	0.00028	0.00147	0.00023	0.00033	0.00079				0.0005	0.00033			0.0014	0.00031	0.00031			0.00024	0.00052		0.00018		0.0002	0.00076	0.00016	0.0001		0.00034	0.00078	0.00027
MGYG000000005																																																																																																0.00011																																																																								0.00016																																																																																																																																																																															
MGYG000000007																																																																																												0.00037																																																																																																																																																																										0.00102																																																																																	
MGYG000000008		0.00029																																																										0.00061																																																																																																																																																																																																										0.053										0.00017																																								0.00011														0.00016																	
MGYG000000009																																																																																																																																																																																							0.00142																																																																															0.00023																																																																																	
MGYG000000013			0.00382			0.02006	0.00021	0.0002		0.00627	0.00483	0.00202	0.00047	0.00206	0.00197	0.00038		0.00023	0.00063	0.00085	0.00573	0.00025	0.00274	8e-05	0.00124	0.00233			0.00059	0.01831	0.00182	0.00042	0.0011	0.00208	0.00103			0.00232		0.00598	0.00184	0.00183	0.01133		0.00021			0.00077	0.00024	0.00199	0.00015	0.00065		0.00037		0.0003	0.00021	0.00244	0.00029	0.00039	0.00017		0.00032		0.00412	0.00022		0.00093	0.00024	0.00134	0.00038	0.00018	0.00039		0.00034		0.00045		0.00051	0.00172	0.00066	0.00105	0.00145	0.00031	0.00038	8e-05		0.01591	0.00044		0.00311	0.00501	0.001	0.00012	9e-05			0.00043		0.00124		0.00054	0.00334	0.00027	0.00047	0.00542	0.00023	0.00192	0.00011	0.00805	0.00118	0.00525	0.00054	0.00021	0.00157		0.00129	0.00011		0.0011	0.00075	0.00603		0.00043	0.00062		0.00017	0.00125		0.00091	0.00057	0.00696		0.00239	0.00118	0.00099	0.00016	0.00036		0.00055	0.00186	0.00032	0.00016	0.00218	0.00027	0.00165		0.00082	0.00085	0.00016	0.00138	0.01308		0.00039	0.00029		0.0003	0.00024	0.00039	0.00019	0.00093	0.00032	0.00122	0.00033	0.00052	0.00109	0.00225	0.00017		9e-05		0.00051	0.00374	0.00013	0.00089	0.00015		0.00094	0.00042	0.0002	0.00019	0.00047		0.00029	0.00011	0.00713	0.00113		0.0001	0.00037		0.00018		0.0001	0.00081	0.00103	0.00253	0.00127		0.01046	0.00068	0.00084	0.00218	0.00093	0.00104	0.00522	0.00036	0.00053		0.00016	0.00187	0.00071	0.0009	0.00328	0.00058	0.00034	0.00049	0.00017	0.0002	0.00029		0.00032	0.00029	0.00181	8e-05	0.00016	0.00022	0.00089	0.00026	0.00041		0.00016	0.00054		0.00104	0.00018		0.0021	0.00069			0.00138	0.00029	0.00049	0.00121	0.00075		0.00013	0.00038	0.00164	0.00405	0.00234	0.00046	0.00058	0.00047			0.00124	0.00012	0.00915	0.00111	0.00013	0.001	0.00045	0.00022	0.00139	0.00031	0.00157	0.00368	0.00033	0.00089	0.00923	0.00032	0.00088		0.00064		0.00019	0.00121	0.00324	0.00069	0.00068	0.00082	0.00018	0.00225		0.00531		0.00058	0.00183	0.00057	0.00453		0.00053	0.00082	0.00764	0.00671	0.00021	0.00017	0.00121	0.00014	0.00858	0.00159	0.00025		0.00078	0.00215	5e-05	0.00015	0.0013		0.00017	0.00123	0.00029	0.00062		0.00106				0.00208	0.00017	0.00057		0.00097	0.00507	0.00134	0.00147	0.00089		0.00556	0.00064	0.00065	0.00295		0.00253	0.00541	0.00021	0.00123	0.00017	0.00042	0.00075	0.00012
MGYG000000014																																																																																																																																																																																																																																													0.00357																																																																			0.0001								0.00014																															
