		reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2466922	Kept_abundance	1.0	0.9991994008314385	1.0	0.9999999999999999	1.0
SAMEA2466922	Kept_mOTUs	341.0	313.0	283.0	98.0	508.0
SAMEA2466922	Raw_mOTUs	341.0	316.0	283.0	98.0	508.0
SAMEA2466922	Lost_mOTUs	0.0	3.0	0.0	0.0	0.0
SAMEA2466922	Lost_abundance	0.0	0.0008005991685614555	0.0	1.1102230246251565e-16	0.0
SAMEA2466922	Lost_mOTUs_frac	0.0	0.00949367088607595	0.0	0.0	0.0
SAMEA3136635	Kept_abundance	1.0	1.0	0.9999999999999999	1.0000000000000002	1.0000000000000002
SAMEA3136635	Kept_mOTUs	320.0	291.0	245.0	115.0	511.0
SAMEA3136635	Raw_mOTUs	320.0	291.0	245.0	115.0	511.0
SAMEA3136635	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA3136635	Lost_abundance	0.0	0.0	1.1102230246251565e-16	-2.220446049250313e-16	-2.220446049250313e-16
SAMEA3136635	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2467056	Kept_abundance	1.0	1.0000000000000002	1.0	0.9999999999999998	0.9999999999999998
SAMEA2467056	Kept_mOTUs	522.0	495.0	412.0	165.0	679.0
SAMEA2467056	Raw_mOTUs	522.0	495.0	412.0	165.0	679.0
SAMEA2467056	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2467056	Lost_abundance	0.0	-2.220446049250313e-16	0.0	2.220446049250313e-16	2.220446049250313e-16
SAMEA2467056	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA3136711	Kept_abundance	1.0000000000000002	0.9998432622821373	1.0	1.0	0.9999999999999998
SAMEA3136711	Kept_mOTUs	328.0	314.0	268.0	96.0	507.0
SAMEA3136711	Raw_mOTUs	328.0	315.0	268.0	96.0	507.0
SAMEA3136711	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA3136711	Lost_abundance	-2.220446049250313e-16	0.0001567377178627316	0.0	0.0	2.220446049250313e-16
SAMEA3136711	Lost_mOTUs_frac	0.0	0.0031746031746031746	0.0	0.0	0.0
SAMEA3136712	Kept_abundance	0.9999999999999999	0.9999999999999999	1.0	0.9999999999999999	1.0
SAMEA3136712	Kept_mOTUs	370.0	320.0	287.0	110.0	487.0
SAMEA3136712	Raw_mOTUs	370.0	320.0	287.0	110.0	487.0
SAMEA3136712	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA3136712	Lost_abundance	1.1102230246251565e-16	1.1102230246251565e-16	0.0	1.1102230246251565e-16	0.0
SAMEA3136712	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2467068	Kept_abundance	0.9999999999999998	0.9997113132300157	1.0	1.0	0.9999999999999999
SAMEA2467068	Kept_mOTUs	494.0	332.0	272.0	126.0	556.0
SAMEA2467068	Raw_mOTUs	494.0	333.0	272.0	126.0	556.0
SAMEA2467068	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2467068	Lost_abundance	2.220446049250313e-16	0.000288686769984281	0.0	0.0	1.1102230246251565e-16
SAMEA2467068	Lost_mOTUs_frac	0.0	0.003003003003003003	0.0	0.0	0.0
SAMEA2467065	Kept_abundance	1.0	0.9988396636025125	1.0	0.9999999999999999	0.9999999999999997
SAMEA2467065	Kept_mOTUs	597.0	543.0	487.0	175.0	711.0
SAMEA2467065	Raw_mOTUs	597.0	545.0	487.0	175.0	711.0
SAMEA2467065	Lost_mOTUs	0.0	2.0	0.0	0.0	0.0
SAMEA2467065	Lost_abundance	0.0	0.0011603363974874714	0.0	1.1102230246251565e-16	3.3306690738754696e-16
SAMEA2467065	Lost_mOTUs_frac	0.0	0.003669724770642202	0.0	0.0	0.0
SAMEA3136680	Kept_abundance	1.0	1.0	1.0	1.0	0.9999999999999999
SAMEA3136680	Kept_mOTUs	554.0	489.0	419.0	190.0	692.0
SAMEA3136680	Raw_mOTUs	554.0	489.0	419.0	190.0	692.0
SAMEA3136680	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA3136680	Lost_abundance	0.0	0.0	0.0	0.0	1.1102230246251565e-16
SAMEA3136680	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA3136708	Kept_abundance	1.0	0.999107430204425	1.0	1.0	0.9999999999999998
SAMEA3136708	Kept_mOTUs	289.0	270.0	216.0	90.0	604.0
SAMEA3136708	Raw_mOTUs	289.0	272.0	216.0	90.0	604.0
SAMEA3136708	Lost_mOTUs	0.0	2.0	0.0	0.0	0.0
SAMEA3136708	Lost_abundance	0.0	0.000892569795574949	0.0	0.0	2.220446049250313e-16
SAMEA3136708	Lost_mOTUs_frac	0.0	0.007352941176470588	0.0	0.0	0.0
SAMEA2467032	Kept_abundance	0.9999999999999999	1.0	1.0	1.0	1.0
SAMEA2467032	Kept_mOTUs	299.0	254.0	225.0	103.0	406.0
SAMEA2467032	Raw_mOTUs	299.0	254.0	225.0	103.0	406.0
SAMEA2467032	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2467032	Lost_abundance	1.1102230246251565e-16	0.0	0.0	0.0	0.0
SAMEA2467032	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2467085	Kept_abundance	0.9999999999999998	0.9997009402631272	0.9999999999999998	1.0	0.9999999999999999
SAMEA2467085	Kept_mOTUs	735.0	443.0	315.0	137.0	636.0
SAMEA2467085	Raw_mOTUs	735.0	444.0	315.0	137.0	636.0
SAMEA2467085	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2467085	Lost_abundance	2.220446049250313e-16	0.00029905973687283094	2.220446049250313e-16	0.0	1.1102230246251565e-16
SAMEA2467085	Lost_mOTUs_frac	0.0	0.0022522522522522522	0.0	0.0	0.0
SAMEA2466902	Kept_abundance	1.0	1.0	1.0000000000000002	1.0	1.0000000000000002
SAMEA2466902	Kept_mOTUs	512.0	466.0	410.0	173.0	653.0
SAMEA2466902	Raw_mOTUs	512.0	466.0	410.0	173.0	653.0
SAMEA2466902	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466902	Lost_abundance	0.0	0.0	-2.220446049250313e-16	0.0	-2.220446049250313e-16
SAMEA2466902	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA3178939	Kept_abundance	1.0	0.9991784567965143	1.0000000000000002	1.0	0.9999999999999999
SAMEA3178939	Kept_mOTUs	444.0	422.0	369.0	158.0	637.0
SAMEA3178939	Raw_mOTUs	444.0	424.0	369.0	158.0	637.0
SAMEA3178939	Lost_mOTUs	0.0	2.0	0.0	0.0	0.0
SAMEA3178939	Lost_abundance	0.0	0.0008215432034857084	-2.220446049250313e-16	0.0	1.1102230246251565e-16
SAMEA3178939	Lost_mOTUs_frac	0.0	0.0047169811320754715	0.0	0.0	0.0
SAMEA2467021	Kept_abundance	0.9999999999999999	0.9992967011978682	1.0	0.9999999999999999	1.0
SAMEA2467021	Kept_mOTUs	597.0	539.0	481.0	191.0	737.0
SAMEA2467021	Raw_mOTUs	597.0	541.0	481.0	191.0	737.0
SAMEA2467021	Lost_mOTUs	0.0	2.0	0.0	0.0	0.0
SAMEA2467021	Lost_abundance	1.1102230246251565e-16	0.0007032988021318243	0.0	1.1102230246251565e-16	0.0
SAMEA2467021	Lost_mOTUs_frac	0.0	0.0036968576709796672	0.0	0.0	0.0
SAMEA2467070	Kept_abundance	0.9999999999999999	0.9994213753097791	1.0	0.9999999999999998	0.9999999999999998
SAMEA2467070	Kept_mOTUs	519.0	475.0	401.0	164.0	653.0
SAMEA2467070	Raw_mOTUs	519.0	477.0	401.0	164.0	653.0
SAMEA2467070	Lost_mOTUs	0.0	2.0	0.0	0.0	0.0
SAMEA2467070	Lost_abundance	1.1102230246251565e-16	0.0005786246902208525	0.0	2.220446049250313e-16	2.220446049250313e-16
SAMEA2467070	Lost_mOTUs_frac	0.0	0.0041928721174004195	0.0	0.0	0.0
SAMEA2467057	Kept_abundance	1.0	0.9995606854416967	1.0	1.0000000000000002	1.0
SAMEA2467057	Kept_mOTUs	441.0	419.0	365.0	137.0	545.0
SAMEA2467057	Raw_mOTUs	441.0	421.0	365.0	137.0	545.0
SAMEA2467057	Lost_mOTUs	0.0	2.0	0.0	0.0	0.0
SAMEA2467057	Lost_abundance	0.0	0.00043931455830326094	0.0	-2.220446049250313e-16	0.0
SAMEA2467057	Lost_mOTUs_frac	0.0	0.004750593824228029	0.0	0.0	0.0
SAMEA3136623	Kept_abundance	1.0	1.0	1.0	0.9999999999999999	1.0
SAMEA3136623	Kept_mOTUs	298.0	287.0	250.0	94.0	506.0
SAMEA3136623	Raw_mOTUs	298.0	287.0	250.0	94.0	506.0
SAMEA3136623	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA3136623	Lost_abundance	0.0	0.0	0.0	1.1102230246251565e-16	0.0
SAMEA3136623	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2467034	Kept_abundance	1.0	0.9997334840069704	1.0	0.9999999999999999	0.9999999999999998
SAMEA2467034	Kept_mOTUs	585.0	551.0	490.0	195.0	672.0
SAMEA2467034	Raw_mOTUs	585.0	552.0	490.0	195.0	672.0
SAMEA2467034	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2467034	Lost_abundance	0.0	0.0002665159930296257	0.0	1.1102230246251565e-16	2.220446049250313e-16
SAMEA2467034	Lost_mOTUs_frac	0.0	0.0018115942028985507	0.0	0.0	0.0
