		reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2466922	Kept_abundance	1.0000000000000002	1.0	1.0	1.0	0.9654036243822076
SAMEA2466922	Kept_mOTUs	341.0	316.0	283.0	98.0	408.0
SAMEA2466922	Raw_mOTUs	341.0	316.0	283.0	98.0	508.0
SAMEA2466922	Lost_mOTUs	0.0	0.0	0.0	0.0	100.0
SAMEA2466922	Lost_abundance	-2.220446049250313e-16	0.0	0.0	0.0	0.034596375617792385
SAMEA2466922	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1968503937007874
SAMEA3136635	Kept_abundance	1.0	1.0	0.9999999999999999	1.0	0.9650443390389771
SAMEA3136635	Kept_mOTUs	320.0	291.0	245.0	115.0	431.0
SAMEA3136635	Raw_mOTUs	320.0	291.0	245.0	115.0	511.0
SAMEA3136635	Lost_mOTUs	0.0	0.0	0.0	0.0	80.0
SAMEA3136635	Lost_abundance	0.0	0.0	1.1102230246251565e-16	0.0	0.03495566096102287
SAMEA3136635	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.15655577299412915
SAMEA2467056	Kept_abundance	1.0	1.0	1.0	0.9999999999999999	0.9431372549019607
SAMEA2467056	Kept_mOTUs	522.0	495.0	412.0	165.0	579.0
SAMEA2467056	Raw_mOTUs	522.0	495.0	412.0	165.0	679.0
SAMEA2467056	Lost_mOTUs	0.0	0.0	0.0	0.0	100.0
SAMEA2467056	Lost_abundance	0.0	0.0	0.0	1.1102230246251565e-16	0.05686274509803935
SAMEA2467056	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.14727540500736377
SAMEA3136711	Kept_abundance	1.0	1.0	1.0	1.0	0.9681266707793542
SAMEA3136711	Kept_mOTUs	328.0	315.0	268.0	96.0	439.0
SAMEA3136711	Raw_mOTUs	328.0	315.0	268.0	96.0	507.0
SAMEA3136711	Lost_mOTUs	0.0	0.0	0.0	0.0	68.0
SAMEA3136711	Lost_abundance	0.0	0.0	0.0	0.0	0.031873329220645785
SAMEA3136711	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1341222879684418
SAMEA3136712	Kept_abundance	1.0	1.0	1.0	0.9999999999999999	0.9709564860426931
SAMEA3136712	Kept_mOTUs	370.0	320.0	287.0	110.0	427.0
SAMEA3136712	Raw_mOTUs	370.0	320.0	287.0	110.0	487.0
SAMEA3136712	Lost_mOTUs	0.0	0.0	0.0	0.0	60.0
SAMEA3136712	Lost_abundance	0.0	0.0	0.0	1.1102230246251565e-16	0.029043513957306866
SAMEA3136712	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.12320328542094455
SAMEA2467068	Kept_abundance	1.0	0.9990500507235807	1.0	1.0	0.9515157701337142
SAMEA2467068	Kept_mOTUs	494.0	332.0	272.0	126.0	490.0
SAMEA2467068	Raw_mOTUs	494.0	333.0	272.0	126.0	556.0
SAMEA2467068	Lost_mOTUs	0.0	1.0	0.0	0.0	66.0
SAMEA2467068	Lost_abundance	0.0	0.0009499492764193374	0.0	0.0	0.048484229866285755
SAMEA2467068	Lost_mOTUs_frac	0.0	0.003003003003003003	0.0	0.0	0.11870503597122302
SAMEA2467065	Kept_abundance	1.0	1.0	1.0	0.9999999999999998	0.9762739839075714
SAMEA2467065	Kept_mOTUs	597.0	545.0	487.0	175.0	631.0
SAMEA2467065	Raw_mOTUs	597.0	545.0	487.0	175.0	711.0
SAMEA2467065	Lost_mOTUs	0.0	0.0	0.0	0.0	80.0
SAMEA2467065	Lost_abundance	0.0	0.0	0.0	2.220446049250313e-16	0.023726016092428637
SAMEA2467065	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.11251758087201125
SAMEA3136680	Kept_abundance	1.0000000000000002	0.9998987898378964	1.0	1.0000000000000002	0.9629247134152636
SAMEA3136680	Kept_mOTUs	554.0	488.0	419.0	190.0	609.0
SAMEA3136680	Raw_mOTUs	554.0	489.0	419.0	190.0	692.0
SAMEA3136680	Lost_mOTUs	0.0	1.0	0.0	0.0	83.0
SAMEA3136680	Lost_abundance	-2.220446049250313e-16	0.00010121016210362654	0.0	-2.220446049250313e-16	0.037075286584736356
SAMEA3136680	Lost_mOTUs_frac	0.0	0.002044989775051125	0.0	0.0	0.1199421965317919
SAMEA3136708	Kept_abundance	1.0	0.9999999999999999	1.0	1.0	0.9571928380325168
SAMEA3136708	Kept_mOTUs	289.0	272.0	216.0	90.0	513.0
SAMEA3136708	Raw_mOTUs	289.0	272.0	216.0	90.0	604.0
SAMEA3136708	Lost_mOTUs	0.0	0.0	0.0	0.0	91.0
SAMEA3136708	Lost_abundance	0.0	1.1102230246251565e-16	0.0	0.0	0.04280716196748324
SAMEA3136708	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.15066225165562913
SAMEA2467032	Kept_abundance	1.0	1.0	1.0	0.9999999999999999	0.9701415965524317
SAMEA2467032	Kept_mOTUs	299.0	254.0	225.0	103.0	347.0
SAMEA2467032	Raw_mOTUs	299.0	254.0	225.0	103.0	406.0
SAMEA2467032	Lost_mOTUs	0.0	0.0	0.0	0.0	59.0
SAMEA2467032	Lost_abundance	0.0	0.0	0.0	1.1102230246251565e-16	0.029858403447568294
SAMEA2467032	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.14532019704433496
SAMEA2467085	Kept_abundance	1.0	0.99978324478799	0.9999999999999998	0.9999999999999998	0.9664546573656134
SAMEA2467085	Kept_mOTUs	735.0	443.0	315.0	137.0	554.0
SAMEA2467085	Raw_mOTUs	735.0	444.0	315.0	137.0	636.0
SAMEA2467085	Lost_mOTUs	0.0	1.0	0.0	0.0	82.0
SAMEA2467085	Lost_abundance	0.0	0.00021675521201003356	2.220446049250313e-16	2.220446049250313e-16	0.03354534263438658
SAMEA2467085	Lost_mOTUs_frac	0.0	0.0022522522522522522	0.0	0.0	0.1289308176100629
SAMEA2466902	Kept_abundance	0.9999999999999999	0.9997846037278475	1.0000000000000002	1.0	0.959477527512085
