#mpa_v31_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	SAMEA3178944	SAMEA3178943	SAMEA3178942	SAMEA3178941	SAMEA3178940	SAMEA3178939	SAMEA3178938	SAMEA3178937	SAMEA3178936	SAMEA3136769	SAMEA3136768	SAMEA3136767	SAMEA3136766	SAMEA3136765	SAMEA3136764	SAMEA3136763	SAMEA3136762	SAMEA3136761	SAMEA3136760	SAMEA3136759	SAMEA3136758	SAMEA3136757	SAMEA3136756	SAMEA3136755	SAMEA3136754	SAMEA3136753	SAMEA3136752	SAMEA3136751	SAMEA3136750	SAMEA3136749	SAMEA3136748	SAMEA3136747	SAMEA3136746	SAMEA3136745	SAMEA3136744	SAMEA3136743	SAMEA3136742	SAMEA3136741	SAMEA3136740	SAMEA3136739	SAMEA3136738	SAMEA3136737	SAMEA3136736	SAMEA3136735	SAMEA3136734	SAMEA3136733	SAMEA3136732	SAMEA3136731	SAMEA3136730	SAMEA3136729	SAMEA3136728	SAMEA3136727	SAMEA3136726	SAMEA3136725	SAMEA3136724	SAMEA3136723	SAMEA3136722	SAMEA3136721	SAMEA3136720	SAMEA3136719	SAMEA3136718	SAMEA3136717	SAMEA3136716	SAMEA3136715	SAMEA3136714	SAMEA3136713	SAMEA3136712	SAMEA3136711	SAMEA3136710	SAMEA3136709	SAMEA3136708	SAMEA3136707	SAMEA3136706	SAMEA3136705	SAMEA3136704	SAMEA3136703	SAMEA3136702	SAMEA3136701	SAMEA3136700	SAMEA3136699	SAMEA3136698	SAMEA3136697	SAMEA3136696	SAMEA3136695	SAMEA3136694	SAMEA3136693	SAMEA3136692	SAMEA3136691	SAMEA3136690	SAMEA3136689	SAMEA3136688	SAMEA3136687	SAMEA3136686	SAMEA3136685	SAMEA3136684	SAMEA3136683	SAMEA3136682	SAMEA3136681	SAMEA3136680	SAMEA3136679	SAMEA3136678	SAMEA3136677	SAMEA3136676	SAMEA3136675	SAMEA3136674	SAMEA3136673	SAMEA3136672	SAMEA3136671	SAMEA3136670	SAMEA3136669	SAMEA3136668	SAMEA3136667	SAMEA3136666	SAMEA3136665	SAMEA3136664	SAMEA3136663	SAMEA3136662	SAMEA3136661	SAMEA3136660	SAMEA3136659	SAMEA3136658	SAMEA3136657	SAMEA3136656	SAMEA3136655	SAMEA3136654	SAMEA3136653	SAMEA3136652	SAMEA3136651	SAMEA3136650	SAMEA3136649	SAMEA3136648	SAMEA3136646	SAMEA3136645	SAMEA3136644	SAMEA3136643	SAMEA3136642	SAMEA3136641	SAMEA3136640	SAMEA3136639	SAMEA3136638	SAMEA3136637	SAMEA3136636	SAMEA3136635	SAMEA3136634	SAMEA3136633	SAMEA3136632	SAMEA3136631	SAMEA3136630	SAMEA3136629	SAMEA3136628	SAMEA3136627	SAMEA3136626	SAMEA3136625	SAMEA3136624	SAMEA3136623	SAMEA2467085	SAMEA2467084	SAMEA2467083	SAMEA2467082	SAMEA2467081	SAMEA2467080	SAMEA2467079	SAMEA2467078	SAMEA2467077	SAMEA2467076	SAMEA2467075	SAMEA2467074	SAMEA2467073	SAMEA2467072	SAMEA2467071	SAMEA2467070	SAMEA2467069	SAMEA2467068	SAMEA2467067	SAMEA2467066	SAMEA2467065	SAMEA2467064	SAMEA2467063	SAMEA2467062	SAMEA2467061	SAMEA2467060	SAMEA2467059	SAMEA2467058	SAMEA2467057	SAMEA2467056	SAMEA2467055	SAMEA2467054	SAMEA2467053	SAMEA2467052	SAMEA2467051	SAMEA2467050	SAMEA2467049	SAMEA2467048	SAMEA2467047	SAMEA2467046	SAMEA2467045	SAMEA2467044	SAMEA2467043	SAMEA2467042	SAMEA2467041	SAMEA2467040	SAMEA2467039	SAMEA2467038	SAMEA2467037	SAMEA2467036	SAMEA2467035	SAMEA2467034	SAMEA2467033	SAMEA2467032	SAMEA2467031	SAMEA2467030	SAMEA2467029	SAMEA2467028	SAMEA2467027	SAMEA2467026	SAMEA2467025	SAMEA2467024	SAMEA2467023	SAMEA2467022	SAMEA2467021	SAMEA2467020	SAMEA2467019	SAMEA2467018	SAMEA2467017	SAMEA2467016	SAMEA2467015	SAMEA2467014	SAMEA2467013	SAMEA2467012	SAMEA2467011	SAMEA2467010	SAMEA2467009	SAMEA2467008	SAMEA2467006	SAMEA2467004	SAMEA2467003	SAMEA2467002	SAMEA2467001	SAMEA2466999	SAMEA2466998	SAMEA2466997	SAMEA2466996	SAMEA2466995	SAMEA2466993	SAMEA2466992	SAMEA2466991	SAMEA2466989	SAMEA2466988	SAMEA2466987	SAMEA2466986	SAMEA2466984	SAMEA2466983	SAMEA2466981	SAMEA2466980	SAMEA2466979	SAMEA2466977	SAMEA2466976	SAMEA2466975	SAMEA2466974	SAMEA2466973	SAMEA2466972	SAMEA2466971	SAMEA2466970	SAMEA2466969	SAMEA2466968	SAMEA2466967	SAMEA2466966	SAMEA2466965	SAMEA2466964	SAMEA2466963	SAMEA2466962	SAMEA2466961	SAMEA2466960	SAMEA2466959	SAMEA2466958	SAMEA2466957	SAMEA2466956	SAMEA2466955	SAMEA2466954	SAMEA2466953	SAMEA2466952	SAMEA2466951	SAMEA2466950	SAMEA2466949	SAMEA2466948	SAMEA2466947	SAMEA2466946	SAMEA2466945	SAMEA2466944	SAMEA2466943	SAMEA2466942	SAMEA2466941	SAMEA2466940	SAMEA2466939	SAMEA2466938	SAMEA2466937	SAMEA2466936	SAMEA2466935	SAMEA2466934	SAMEA2466933	SAMEA2466932	SAMEA2466931	SAMEA2466930	SAMEA2466928	SAMEA2466927	SAMEA2466926	SAMEA2466925	SAMEA2466924	SAMEA2466923	SAMEA2466922	SAMEA2466921	SAMEA2466920	SAMEA2466918	SAMEA2466917	SAMEA2466916	SAMEA2466915	SAMEA2466914	SAMEA2466913	SAMEA2466912	SAMEA2466911	SAMEA2466910	SAMEA2466908	SAMEA2466907	SAMEA2466906	SAMEA2466905	SAMEA2466904	SAMEA2466903	SAMEA2466902	SAMEA2466901	SAMEA2466900	SAMEA2466899	SAMEA2466898	SAMEA2466897	SAMEA2466896	SAMEA2466895	SAMEA2466894	SAMEA2466893	SAMEA2466892	SAMEA2466891	SAMEA2466890	SAMEA2466889	SAMEA2466888	SAMEA2466887
k__Archaea	2157	0.60576	15.00273	0	0	0	0.77748	0	0	0	0.00781	0.12413	2.35728	0	0.08448	2.36247	0.00043	0	0.6334	0.02341	3.31197	0	0.02296	8.12847	2.08149	0	1.60116	0	0	0	0.16608	0	0	0.04419	0.19985	0	0.89976	0	0	0	0	12.44636	0	0	0	1.11929	0	9.58719	0	0	0	2.65776	0.14095	13.26313	0	0	8.00411	0	5.10331	0.01144	0.00071	2.5	0.60596	3.05697	0	0	0.68249	0	0	0	0	0	0.4598	0	0.7091	0	0	0	0	0.12849	0	4.97383	0	0.50452	0	1.62182	0	0	0	0	0	0	0	0	0.00954	2.68349	7.06572	0	0	0	0	0.15637	0	0	0.75409	0	0.70808	0	0.27589	0	0	0	0.18797	1.7599	0	0	0	0	0	0	1.26429	0	0	0	0	0	0	1.84082	0	0	0	0.2376	0	0	0.87454	0	12.41269	0	0	0	0	0	0	0	0.10007	0	2.53393	0	1.33817	0	0	0	0	4.38149	0	0	0	0	0	0	0	0	0	0.1113	0	0.01826	0	0.64573	0.81536	1.03218	0	0	0	0	0	0.1587	0	0	0.37357	0	0.39973	0	0	0	0	0	0.71324	0	0	0.03455	0.0009	0.07133	0	0.00574	0	1.01475	0	0.38198	0	0.26284	0	0	0	0	0	3.35402	0.65592	1.09916	0	0	0	0	2.23528	0	8.72049	0.38385	2.2734	29.94092	0	1.46291	0.534	0	6.87491	0	0	0	0	0.04229	0	0	0	0	0	0.04372	1.96134	0.10257	0	6.11696	0	0	0	0.3466	2.6453	0	0.73144	0	3.21001	4.04364	1.104	0	4.89921	10.65716	0.01748	0.05693	0	0.76804	1.04409	5.73174	0	9.34084	12.54409	17.74125	3.84693	0	0	1.25675	0	0.06453	0	0	3.02623	0.01374	0	5.08235	2.90819	0	0.02171	0	2.45234	0	0	0	0	0	3.0691	0.01801	0.11824	0	0.21461	0	2.76639	8.17117	0	2.35095	2.8731	0.00857	0	0	0	11.98948	0.0072	5.35693	2.73542	6.12124	0	0	0.12757	0.04645	0	0	0	0	0	0	0	0	43.48496	0.07232	1.99958	0	5.50524	0	0	0	1.2302	0	0	2.67951	0	0.37927	0	0.92493	9.04399	0.57626	0.06584	0	0	0.31274	0.17896	1.03529	0	2.83373	0	4.63313
k__Archaea|p__Euryarchaeota	2157|28890	0.60576	15.00273	0	0	0	0.77748	0	0	0	0.00781	0.12413	2.35728	0	0.08448	2.36247	0.00043	0	0.6334	0.02341	3.31197	0	0.02296	8.12847	2.08149	0	1.60116	0	0	0	0.16608	0	0	0.04419	0.19985	0	0.89976	0	0	0	0	12.44636	0	0	0	1.11929	0	9.58719	0	0	0	2.65776	0.14095	13.26313	0	0	8.00411	0	5.10331	0.01144	0.00071	2.5	0.60596	3.05697	0	0	0.68249	0	0	0	0	0	0.4598	0	0.7091	0	0	0	0	0.12849	0	4.97383	0	0.50452	0	1.62182	0	0	0	0	0	0	0	0	0.00954	2.68349	7.06572	0	0	0	0	0.15637	0	0	0.75409	0	0.70808	0	0.27589	0	0	0	0.18797	1.7599	0	0	0	0	0	0	1.26429	0	0	0	0	0	0	1.84082	0	0	0	0.2376	0	0	0.87454	0	12.41269	0	0	0	0	0	0	0	0.10007	0	2.53393	0	1.33817	0	0	0	0	4.38149	0	0	0	0	0	0	0	0	0	0.1113	0	0.01826	0	0.64573	0.81536	1.03218	0	0	0	0	0	0.1587	0	0	0.37357	0	0.39973	0	0	0	0	0	0.71324	0	0	0.03455	0.0009	0.07133	0	0.00574	0	1.01475	0	0.38198	0	0.26284	0	0	0	0	0	3.35402	0.65592	1.09916	0	0	0	0	2.23528	0	8.72049	0.38385	2.2734	29.94092	0	1.46291	0.534	0	6.87491	0	0	0	0	0.04229	0	0	0	0	0	0.04372	1.96134	0.10257	0	6.11696	0	0	0	0.3466	2.6453	0	0.73144	0	3.21001	4.04364	1.104	0	4.89921	10.65716	0.01748	0.05693	0	0.76804	1.04409	5.73174	0	9.34084	12.54409	17.74125	3.84693	0	0	1.25675	0	0.06453	0	0	3.02623	0.01374	0	5.08235	2.90819	0	0.02171	0	2.45234	0	0	0	0	0	3.0691	0.01801	0.11824	0	0.21461	0	2.76639	8.17117	0	2.35095	2.8731	0.00857	0	0	0	11.98948	0.0072	5.35693	2.73542	6.12124	0	0	0.12757	0.04645	0	0	0	0	0	0	0	0	43.48496	0.07232	1.99958	0	5.50524	0	0	0	1.2302	0	0	2.67951	0	0.37927	0	0.92493	9.04399	0.57626	0.06584	0	0	0.31274	0.17896	1.03529	0	2.83373	0	4.63313
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.60576	15.00273	0	0	0	0.77748	0	0	0	0.00781	0.12413	2.35728	0	0.08448	2.36247	0.00043	0	0.6334	0.02341	3.31197	0	0.02296	8.12847	2.08149	0	1.60116	0	0	0	0.16608	0	0	0.04419	0.19985	0	0.89976	0	0	0	0	12.44209	0	0	0	1.11929	0	9.58719	0	0	0	2.65776	0.14095	13.26313	0	0	8.00411	0	5.10331	0.01144	0.00071	2.5	0.60596	3.05697	0	0	0.68249	0	0	0	0	0	0.4598	0	0.7091	0	0	0	0	0.12849	0	4.97383	0	0.50452	0	1.62182	0	0	0	0	0	0	0	0	0.00954	2.68349	7.06572	0	0	0	0	0.15637	0	0	0.75409	0	0.70808	0	0.27589	0	0	0	0.18797	1.7599	0	0	0	0	0	0	1.26429	0	0	0	0	0	0	1.84082	0	0	0	0.2376	0	0	0.87454	0	12.4027	0	0	0	0	0	0	0	0.10007	0	2.53393	0	1.28122	0	0	0	0	4.38149	0	0	0	0	0	0	0	0	0	0.1113	0	0.01826	0	0.64573	0.81536	1.03218	0	0	0	0	0	0.1587	0	0	0.37357	0	0.39973	0	0	0	0	0	0.71324	0	0	0.03455	0.0009	0.07133	0	0.00574	0	0.00121	0	0.38198	0	0.26284	0	0	0	0	0	3.35402	0.65592	1.09916	0	0	0	0	2.23528	0	8.72049	0.38385	2.2734	29.94092	0	1.46291	0.2549	0	6.87491	0	0	0	0	0.04229	0	0	0	0	0	0.04372	1.96134	0.10257	0	6.11696	0	0	0	0.3466	2.6453	0	0.73144	0	3.21001	0.00384	1.104	0	4.89921	10.65716	0.01748	0.05693	0	0.76804	1.04409	5.73174	0	9.34084	12.54409	17.74125	3.84693	0	0	1.25675	0	0.06453	0	0	3.02623	0.01374	0	5.08235	2.90819	0	0.02171	0	2.45234	0	0	0	0	0	3.0691	0.01801	0.11824	0	0.21461	0	0.09293	8.17117	0	2.35095	2.8731	0.00857	0	0	0	11.98948	0.0072	5.35693	2.73542	6.12124	0	0	0.12757	0.04645	0	0	0	0	0	0	0	0	43.48496	0.07232	1.99958	0	5.50524	0	0	0	1.2302	0	0	2.67951	0	0.37927	0	0.92493	8.97909	0.57626	0.06584	0	0	0.31274	0.17896	1.03529	0	2.38937	0	4.63313
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.60576	15.00273	0	0	0	0.77748	0	0	0	0.00781	0.12413	2.35728	0	0.08448	2.36247	0.00043	0	0.6334	0.02341	3.31197	0	0.02296	8.12847	2.08149	0	1.60116	0	0	0	0.16608	0	0	0.04419	0.19985	0	0.89976	0	0	0	0	12.44209	0	0	0	1.11929	0	9.58719	0	0	0	2.65776	0.14095	13.26313	0	0	8.00411	0	5.10331	0.01144	0.00071	2.5	0.60596	3.05697	0	0	0.68249	0	0	0	0	0	0.4598	0	0.7091	0	0	0	0	0.12849	0	4.97383	0	0.50452	0	1.62182	0	0	0	0	0	0	0	0	0.00954	2.68349	7.06572	0	0	0	0	0.15637	0	0	0.75409	0	0.70808	0	0.27589	0	0	0	0.18797	1.7599	0	0	0	0	0	0	1.26429	0	0	0	0	0	0	1.84082	0	0	0	0.2376	0	0	0.87454	0	12.4027	0	0	0	0	0	0	0	0.10007	0	2.53393	0	1.28122	0	0	0	0	4.38149	0	0	0	0	0	0	0	0	0	0.1113	0	0.01826	0	0.64573	0.81536	1.03218	0	0	0	0	0	0.1587	0	0	0.37357	0	0.39973	0	0	0	0	0	0.71324	0	0	0.03455	0.0009	0.07133	0	0.00574	0	0.00121	0	0.38198	0	0.26284	0	0	0	0	0	3.35402	0.65592	1.09916	0	0	0	0	2.23528	0	8.72049	0.38385	2.2734	29.94092	0	1.46291	0.2549	0	6.87491	0	0	0	0	0.04229	0	0	0	0	0	0.04372	1.96134	0.10257	0	6.11696	0	0	0	0.3466	2.6453	0	0.73144	0	3.21001	0.00384	1.104	0	4.89921	10.65716	0.01748	0.05693	0	0.76804	1.04409	5.73174	0	9.34084	12.54409	17.74125	3.84693	0	0	1.25675	0	0.06453	0	0	3.02623	0.01374	0	5.08235	2.90819	0	0.02171	0	2.45234	0	0	0	0	0	3.0691	0.01801	0.11824	0	0.21461	0	0.09293	8.17117	0	2.35095	2.8731	0.00857	0	0	0	11.98948	0.0072	5.35693	2.73542	6.12124	0	0	0.12757	0.04645	0	0	0	0	0	0	0	0	43.48496	0.07232	1.99958	0	5.50524	0	0	0	1.2302	0	0	2.67951	0	0.37927	0	0.92493	8.97909	0.57626	0.06584	0	0	0.31274	0.17896	1.03529	0	2.38937	0	4.63313
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0.60576	15.00273	0	0	0	0.77748	0	0	0	0.00781	0.12413	2.35728	0	0.08448	2.36247	0.00043	0	0.6334	0.02341	3.31197	0	0.02296	8.12847	2.08149	0	1.60116	0	0	0	0.16608	0	0	0.04419	0.19985	0	0.89976	0	0	0	0	12.44209	0	0	0	1.11929	0	9.58719	0	0	0	2.65776	0.14095	13.26313	0	0	8.00411	0	5.10331	0.01144	0.00071	2.5	0.60596	3.05697	0	0	0.68249	0	0	0	0	0	0.4598	0	0.7091	0	0	0	0	0.12849	0	4.97383	0	0.50452	0	1.62182	0	0	0	0	0	0	0	0	0.00954	2.68349	7.06572	0	0	0	0	0.15637	0	0	0.75409	0	0.70808	0	0.27589	0	0	0	0.18797	1.7599	0	0	0	0	0	0	1.26429	0	0	0	0	0	0	1.84082	0	0	0	0.2376	0	0	0.87454	0	12.4027	0	0	0	0	0	0	0	0.10007	0	2.53393	0	1.28122	0	0	0	0	4.38149	0	0	0	0	0	0	0	0	0	0.1113	0	0.01826	0	0.64573	0.81536	1.03218	0	0	0	0	0	0.1587	0	0	0.37357	0	0.39973	0	0	0	0	0	0.71324	0	0	0.03455	0.0009	0.07133	0	0.00574	0	0.00121	0	0.38198	0	0.26284	0	0	0	0	0	3.35402	0.65592	1.09916	0	0	0	0	2.23528	0	8.72049	0.38385	2.2734	29.94092	0	1.46291	0.2549	0	6.87491	0	0	0	0	0.04229	0	0	0	0	0	0.04372	1.96134	0.10257	0	6.11696	0	0	0	0.3466	2.6453	0	0.73144	0	3.21001	0.00384	1.104	0	4.89921	10.65716	0.01748	0.05693	0	0.76804	1.04409	5.73174	0	9.34084	12.54409	17.74125	3.84693	0	0	1.25675	0	0.06453	0	0	3.02623	0.01374	0	5.08235	2.90819	0	0.02171	0	2.45234	0	0	0	0	0	3.0691	0.01801	0.11824	0	0.21461	0	0.09293	8.17117	0	2.35095	2.8731	0.00857	0	0	0	11.98948	0.0072	5.35693	2.73542	6.12124	0	0	0.12757	0.04645	0	0	0	0	0	0	0	0	43.48496	0.07232	1.99958	0	5.50524	0	0	0	1.2302	0	0	2.67951	0	0.37927	0	0.92493	8.97909	0.57626	0.06584	0	0	0.31274	0.17896	1.03529	0	2.38937	0	4.63313
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium	2157|28890|183925|2158|2159|2160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp_MB1	2157|28890|183925|2158|2159|2160|1379702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0.60576	15.00273	0	0	0	0.77468	0	0	0	0.00781	0.12413	2.35728	0	0.08448	2.14361	0.00043	0	0.6334	0.02341	3.31197	0	0.02296	8.12847	1.19254	0	1.60116	0	0	0	0.16608	0	0	0.04419	0.19985	0	0.89976	0	0	0	0	12.44209	0	0	0	1.11929	0	9.58719	0	0	0	2.65776	0.10341	13.26313	0	0	7.92631	0	5.10331	0.01144	0.00071	2.5	0.60596	2.6394	0	0	0.68249	0	0	0	0	0	0.4598	0	0.7091	0	0	0	0	0.12849	0	4.83309	0	0.50452	0	0.74472	0	0	0	0	0	0	0	0	0.00954	2.68349	7.06572	0	0	0	0	0.15637	0	0	0.75409	0	0.54285	0	0.27589	0	0	0	0.18797	0.8302	0	0	0	0	0	0	1.26016	0	0	0	0	0	0	1.84082	0	0	0	0.2376	0	0	0.87454	0	12.4027	0	0	0	0	0	0	0	0.10007	0	2.06226	0	1.28122	0	0	0	0	3.22114	0	0	0	0	0	0	0	0	0	0.1113	0	0.01826	0	0.49963	0.81536	1.03218	0	0	0	0	0	0.1587	0	0	0.37357	0	0.39973	0	0	0	0	0	0.71324	0	0	0.03455	0.0009	0.07133	0	0.00574	0	0.00121	0	0.38198	0	0.26284	0	0	0	0	0	3.26816	0.65592	0.96801	0	0	0	0	1.59605	0	7.29085	0.38385	1.87444	29.94092	0	1.46291	0.2549	0	6.87491	0	0	0	0	0.04229	0	0	0	0	0	0.04372	1.96134	0.10257	0	0	0	0	0	0.3466	2.6453	0	0.73144	0	3.21001	0.00384	1.104	0	4.89921	10.65716	0.01748	0.05693	0	0.76804	1.04409	5.73174	0	8.77342	12.54409	15.95471	3.84693	0	0	1.25675	0	0.06453	0	0	3.02623	0.01374	0	5.08235	2.59772	0	0.02171	0	2.45234	0	0	0	0	0	2.59374	0.01801	0.11824	0	0.21461	0	0.09293	8.17117	0	1.76321	2.8731	0.00857	0	0	0	11.98948	0.0072	5.35693	2.73542	6.12124	0	0	0.12757	0.04645	0	0	0	0	0	0	0	0	43.48496	0.07232	1.84959	0	5.50524	0	0	0	1.2302	0	0	2.67951	0	0.37927	0	0.82058	8.97909	0.57626	0.06584	0	0	0.31274	0.17896	1.03529	0	2.38937	0	4.63313
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0.60576	15.00273	0	0	0	0.77468	0	0	0	0.00781	0.12413	2.35728	0	0.08448	2.14361	0.00043	0	0.6334	0.02341	3.31197	0	0.02296	8.12847	1.19254	0	1.60116	0	0	0	0.16608	0	0	0.04419	0.19985	0	0.89976	0	0	0	0	12.44209	0	0	0	1.11929	0	9.58719	0	0	0	2.65776	0.10341	13.26313	0	0	7.92631	0	5.10331	0.01144	0.00071	2.5	0.60596	2.6394	0	0	0.68249	0	0	0	0	0	0.4598	0	0.7091	0	0	0	0	0.12849	0	4.83309	0	0.50452	0	0.74472	0	0	0	0	0	0	0	0	0.00954	2.68349	7.06572	0	0	0	0	0.15637	0	0	0.75409	0	0.54285	0	0.27589	0	0	0	0.18797	0.8302	0	0	0	0	0	0	1.26016	0	0	0	0	0	0	1.84082	0	0	0	0.2376	0	0	0.87454	0	12.4027	0	0	0	0	0	0	0	0.10007	0	2.06226	0	1.28122	0	0	0	0	3.22114	0	0	0	0	0	0	0	0	0	0.1113	0	0.01826	0	0.49963	0.81536	1.03218	0	0	0	0	0	0.1587	0	0	0.37357	0	0.39973	0	0	0	0	0	0.71324	0	0	0.03455	0.0009	0.07133	0	0.00574	0	0.00121	0	0.38198	0	0.26284	0	0	0	0	0	3.26816	0.65592	0.96801	0	0	0	0	1.59605	0	7.29085	0.38385	1.87444	29.94092	0	1.46291	0.2549	0	6.87491	0	0	0	0	0.04229	0	0	0	0	0	0.04372	1.96134	0.10257	0	0	0	0	0	0.3466	2.6453	0	0.73144	0	3.21001	0.00384	1.104	0	4.89921	10.65716	0.01748	0.05693	0	0.76804	1.04409	5.73174	0	8.77342	12.54409	15.95471	3.84693	0	0	1.25675	0	0.06453	0	0	3.02623	0.01374	0	5.08235	2.59772	0	0.02171	0	2.45234	0	0	0	0	0	2.59374	0.01801	0.11824	0	0.21461	0	0.09293	8.17117	0	1.76321	2.8731	0.00857	0	0	0	11.98948	0.0072	5.35693	2.73542	6.12124	0	0	0.12757	0.04645	0	0	0	0	0	0	0	0	43.48496	0.07232	1.84959	0	5.50524	0	0	0	1.2302	0	0	2.67951	0	0.37927	0	0.82058	8.97909	0.57626	0.06584	0	0	0.31274	0.17896	1.03529	0	2.38937	0	4.63313
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0	0.21885	0	0	0	0	0	0	0	0	0.88895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03754	0	0	0	0.0778	0	0	0	0	0	0	0.41757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14075	0	0	0	0.8771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16523	0	0	0	0	0	0	0.9297	0	0	0	0	0	0	0.00414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47168	0	0	0	0	0	0	1.16035	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08586	0	0.13115	0	0	0	0	0.63923	0	1.42964	0	0.39896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56741	0	1.78654	0	0	0	0	0	0	0	0	0	0	0	0	0.31047	0	0	0	0	0	0	0	0	0	0.47535	0	0	0	0	0	0	0	0	0.58774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.10435	0	0	0	0	0	0	0	0	0	0	0	0
