		reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2466887	Kept_abundance	1.0	1.0	1.0	1.0000000000000002	1.0000000000000002
SAMEA2466887	Kept_mOTUs	259.0	262.0	230.0	126.0	533.0
SAMEA2466887	Raw_mOTUs	259.0	262.0	230.0	126.0	533.0
SAMEA2466887	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466887	Lost_abundance	0.0	0.0	0.0	-2.220446049250313e-16	-2.220446049250313e-16
SAMEA2466887	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466888	Kept_abundance	1.0	0.9992147399915228	1.0	1.0	1.0000000000000002
SAMEA2466888	Kept_mOTUs	214.0	212.0	189.0	94.0	528.0
SAMEA2466888	Raw_mOTUs	214.0	213.0	189.0	94.0	528.0
SAMEA2466888	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466888	Lost_abundance	0.0	0.0007852600084772288	0.0	0.0	-2.220446049250313e-16
SAMEA2466888	Lost_mOTUs_frac	0.0	0.004694835680751174	0.0	0.0	0.0
SAMEA2466889	Kept_abundance	1.0	0.9996085136286069	1.0	1.0	0.9999999999999999
SAMEA2466889	Kept_mOTUs	301.0	294.0	243.0	107.0	586.0
SAMEA2466889	Raw_mOTUs	301.0	295.0	243.0	107.0	586.0
SAMEA2466889	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466889	Lost_abundance	0.0	0.0003914863713930794	0.0	0.0	1.1102230246251565e-16
SAMEA2466889	Lost_mOTUs_frac	0.0	0.003389830508474576	0.0	0.0	0.0
SAMEA2466890	Kept_abundance	1.0	0.9995690430391478	0.9999999999999999	0.9999999999999999	1.0000000000000002
SAMEA2466890	Kept_mOTUs	236.0	236.0	206.0	107.0	573.0
SAMEA2466890	Raw_mOTUs	236.0	237.0	206.0	107.0	573.0
SAMEA2466890	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466890	Lost_abundance	0.0	0.00043095696085215796	1.1102230246251565e-16	1.1102230246251565e-16	-2.220446049250313e-16
SAMEA2466890	Lost_mOTUs_frac	0.0	0.004219409282700422	0.0	0.0	0.0
SAMEA2466891	Kept_abundance	0.9999999999999999	0.99948525731319	1.0	1.0	1.0
SAMEA2466891	Kept_mOTUs	216.0	228.0	192.0	106.0	575.0
SAMEA2466891	Raw_mOTUs	216.0	229.0	192.0	106.0	575.0
SAMEA2466891	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466891	Lost_abundance	1.1102230246251565e-16	0.0005147426868099547	0.0	0.0	0.0
SAMEA2466891	Lost_mOTUs_frac	0.0	0.004366812227074236	0.0	0.0	0.0
SAMEA2466892	Kept_abundance	1.0	0.9996125597891761	1.0	1.0	0.9999999999999998
SAMEA2466892	Kept_mOTUs	221.0	227.0	196.0	110.0	468.0
SAMEA2466892	Raw_mOTUs	221.0	228.0	196.0	110.0	468.0
SAMEA2466892	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466892	Lost_abundance	0.0	0.00038744021082393054	0.0	0.0	2.220446049250313e-16
SAMEA2466892	Lost_mOTUs_frac	0.0	0.0043859649122807015	0.0	0.0	0.0
SAMEA2466893	Kept_abundance	1.0	1.0	1.0	1.0	1.0
SAMEA2466893	Kept_mOTUs	190.0	203.0	167.0	97.0	504.0
SAMEA2466893	Raw_mOTUs	190.0	203.0	167.0	97.0	504.0
SAMEA2466893	Lost_mOTUs	0.0	0.0	0.0	0.0	0.0
SAMEA2466893	Lost_abundance	0.0	0.0	0.0	0.0	0.0
SAMEA2466893	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.0
SAMEA2466894	Kept_abundance	1.0	0.9992151178063463	0.9999999999999999	1.0	1.0000000000000002
SAMEA2466894	Kept_mOTUs	166.0	160.0	138.0	81.0	508.0
SAMEA2466894	Raw_mOTUs	166.0	161.0	138.0	81.0	508.0
SAMEA2466894	Lost_mOTUs	0.0	1.0	0.0	0.0	0.0
SAMEA2466894	Lost_abundance	0.0	0.0007848821936536909	1.1102230246251565e-16	0.0	-2.220446049250313e-16
