		reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2466887	Kept_abundance	1.0000000000000002	1.0	1.0	1.0	0.9630392257798828
SAMEA2466887	Kept_mOTUs	259.0	262.0	230.0	126.0	450.0
SAMEA2466887	Raw_mOTUs	259.0	262.0	230.0	126.0	533.0
SAMEA2466887	Lost_mOTUs	0.0	0.0	0.0	0.0	83.0
SAMEA2466887	Lost_abundance	-2.220446049250313e-16	0.0	0.0	0.0	0.03696077422011723
SAMEA2466887	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.15572232645403378
SAMEA2466888	Kept_abundance	1.0	1.0	1.0	1.0	0.974862935760836
SAMEA2466888	Kept_mOTUs	214.0	213.0	189.0	94.0	466.0
SAMEA2466888	Raw_mOTUs	214.0	213.0	189.0	94.0	528.0
SAMEA2466888	Lost_mOTUs	0.0	0.0	0.0	0.0	62.0
SAMEA2466888	Lost_abundance	0.0	0.0	0.0	0.0	0.025137064239163953
SAMEA2466888	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.11742424242424243
SAMEA2466889	Kept_abundance	1.0	1.0000000000000002	1.0	1.0	0.9544562635546836
SAMEA2466889	Kept_mOTUs	301.0	295.0	243.0	107.0	508.0
SAMEA2466889	Raw_mOTUs	301.0	295.0	243.0	107.0	586.0
SAMEA2466889	Lost_mOTUs	0.0	0.0	0.0	0.0	78.0
SAMEA2466889	Lost_abundance	0.0	-2.220446049250313e-16	0.0	0.0	0.045543736445316396
SAMEA2466889	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.13310580204778158
SAMEA2466890	Kept_abundance	1.0000000000000002	1.0	0.9999999999999999	1.0	0.974353692450304
SAMEA2466890	Kept_mOTUs	236.0	237.0	206.0	107.0	496.0
SAMEA2466890	Raw_mOTUs	236.0	237.0	206.0	107.0	573.0
SAMEA2466890	Lost_mOTUs	0.0	0.0	0.0	0.0	77.0
SAMEA2466890	Lost_abundance	-2.220446049250313e-16	0.0	1.1102230246251565e-16	0.0	0.02564630754969599
SAMEA2466890	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1343804537521815
SAMEA2466891	Kept_abundance	1.0	1.0	1.0	0.9999999999999999	0.9743881028606837
SAMEA2466891	Kept_mOTUs	216.0	229.0	192.0	106.0	495.0
SAMEA2466891	Raw_mOTUs	216.0	229.0	192.0	106.0	575.0
SAMEA2466891	Lost_mOTUs	0.0	0.0	0.0	0.0	80.0
