mgnify	msp
MGYG000002726	msp_1173c
MGYG000001380	msp_0058
MGYG000004465	msp_1827
MGYG000004866	msp_0456:0.21658388063714978,msp_1715:0.7834161193628502
MGYG000002556	msp_0199
MGYG000000982	msp_1004
MGYG000004852	msp_1601:0.5770330976980431,msp_1677:0.4229669023019569
MGYG000001391	msp_0139
MGYG000004345	msp_0833
MGYG000000444	msp_0432
MGYG000001413	msp_0562
MGYG000003718	msp_1946
MGYG000002512	msp_0100
MGYG000000362	msp_0047
MGYG000000549	msp_0819
MGYG000002568	msp_0502
MGYG000004502	msp_1157
MGYG000001494	msp_0474
MGYG000003224	msp_0622
MGYG000003481	msp_0578
MGYG000000899	msp_1239
MGYG000001606	msp_1515
MGYG000001552	msp_1582
MGYG000000285	msp_0978
MGYG000000332	msp_1110
MGYG000002863	msp_0952
MGYG000003863	msp_1461
MGYG000004425	msp_1071
MGYG000001709	msp_0999
MGYG000001756	msp_0210
MGYG000003396	msp_1479
MGYG000002452	msp_0070:0.6372574759604058,msp_0411:0.3627425240395942
MGYG000003790	msp_1215:0.21625324931774412,msp_1361:0.22391950319103804,msp_1570:0.24342715939669635,msp_1600:0.3164000880945215
MGYG000003770	msp_0213:0.0456153710917444,msp_0276:0.0986851203132301,msp_1060c:0.20187094984256598,msp_1652:0.18958888610006266,msp_1975:0.17534232240468223,msp_2142:0.2888973502477145
MGYG000000580	msp_0380:0.4800631366827264,msp_1453:0.5199368633172736
MGYG000004279	msp_1422:0.46957368622301265,msp_1644:0.5304263137769873
MGYG000004179	msp_1332
MGYG000004464	msp_0310:0.25131211452845476,msp_0870:0.7486878854715452
MGYG000000295	msp_0340:0.08056751664215382,msp_1780c:0.9194324833578461
MGYG000000695	msp_0078
MGYG000000360	msp_0116
MGYG000000901	msp_0696
MGYG000003022	msp_0202
MGYG000000773	msp_0837
MGYG000000647	msp_0491
MGYG000004271	msp_0805
MGYG000004446	msp_1368
MGYG000000014	msp_0329
MGYG000001961	msp_0365
MGYG000002581	msp_0856
MGYG000002694	msp_0014:0.13861535769885552,msp_0669:0.030016464319216892,msp_1060c:0.10877359787527127,msp_1072:0.06214995886749694,msp_1609c:0.3979602204902627,msp_1672:0.2624844007488966
MGYG000001030	msp_1546
MGYG000003210	msp_1558
MGYG000001910	msp_1475
MGYG000000964	msp_0934
MGYG000000941	msp_0611
MGYG000000873	msp_1215
MGYG000001939	msp_0928
MGYG000000194	msp_0780
MGYG000004008	msp_1518
MGYG000004640	msp_1350
MGYG000003783	msp_0814
MGYG000004046	msp_1222
MGYG000004747	msp_1123
MGYG000001740	msp_1339
MGYG000002389	msp_1223c
MGYG000001673	msp_0372
MGYG000004288	msp_0831
MGYG000001305	msp_0601c
MGYG000004652	msp_0890c
MGYG000004158	msp_0212
MGYG000004643	msp_0835
MGYG000003297	msp_0509
MGYG000000247	msp_0946
MGYG000002540	msp_0026
MGYG000001442	msp_0602c
MGYG000002080	msp_0224
MGYG000000499	msp_1598
MGYG000002197	msp_1245
MGYG000001039	msp_1982
MGYG000003888	msp_1467
MGYG000004025	msp_1122
MGYG000001787	msp_0658
MGYG000001151	msp_0178
MGYG000001341	msp_0890c
MGYG000000157	msp_1942
MGYG000003298	msp_1596
MGYG000000024	msp_1682c
MGYG000000404	msp_0296
MGYG000002451	msp_1472c
MGYG000003966	msp_0676
MGYG000004140	msp_1527
MGYG000004149	msp_1285
MGYG000000606	msp_0064
MGYG000002561	msp_0219
MGYG000000546	msp_1055
MGYG000001199	msp_1562
MGYG000000087	msp_0129
MGYG000002612	msp_0615
MGYG000001762	msp_1034
MGYG000000468	msp_1465
MGYG000002872	msp_1347c
MGYG000001308	msp_1341
MGYG000000774	msp_0693
MGYG000002912	msp_0982
MGYG000001331	msp_1019
MGYG000001174	msp_0536
MGYG000001433	msp_0037
MGYG000004454	msp_1056
MGYG000001168	msp_0800
MGYG000001293	msp_1089
MGYG000000753	msp_1105
MGYG000004683	msp_0477:0.2849101335030939,msp_0791:0.1563125635172616,msp_1062:0.24696103785206702,msp_1238:0.31181626512757754
MGYG000000460	msp_1210
MGYG000001187	msp_1437
MGYG000002277	msp_1353:0.5212714489323492,msp_1608c:0.47872855106765083
MGYG000001860	msp_0891
MGYG000001425	msp_1648
MGYG000003981	msp_1141
MGYG000003961	msp_0494
MGYG000001742	msp_0423
MGYG000000253	msp_0160
MGYG000004613	msp_1154
MGYG000004621	msp_0997:0.3890209329629736,msp_1981:0.6109790670370264
MGYG000001315	msp_0259
MGYG000001382	msp_0785
MGYG000000841	msp_1062
MGYG000004452	msp_1260
MGYG000001779	msp_1486
MGYG000002718	msp_1358
